Time,nikita dragun
2022-01-01,8
2022-01-02,8
2022-01-03,9
2022-01-04,7
2022-01-05,8
2022-01-06,4
2022-01-07,33
2022-01-08,100
2022-01-09,93
2022-01-10,73
2022-01-11,68
2022-01-12,57
2022-01-13,57
2022-01-14,43
2022-01-15,47
2022-01-16,34
2022-01-17,27
2022-01-18,22
2022-01-19,20
2022-01-20,17
2022-01-21,17
2022-01-22,22
2022-01-23,25
2022-01-24,25
2022-01-25,15
2022-01-26,8
2022-01-27,12
2022-01-28,14
2022-01-29,19
2022-01-30,16
2022-01-31,19
2022-02-01,20
2022-02-02,22
2022-02-03,14
2022-02-04,14
2022-02-05,13
2022-02-06,10
2022-02-07,9
2022-02-08,9
2022-02-09,7
2022-02-10,8
2022-02-11,10
2022-02-12,12
2022-02-13,9
2022-02-14,9
2022-02-15,10
2022-02-16,7
2022-02-17,5
2022-02-18,5
2022-02-19,9
2022-02-20,9
2022-02-21,6
2022-02-22,5
2022-02-23,7
2022-02-24,7
2022-02-25,7
2022-02-26,6
2022-02-27,8
2022-02-28,6
2022-03-01,5
2022-03-02,5
2022-03-03,5
2022-03-04,5
2022-03-05,5
2022-03-06,2
2022-03-07,5
2022-03-08,6
2022-03-09,6
2022-03-10,3
2022-03-11,4
2022-03-12,6
2022-03-13,6
2022-03-14,5
2022-03-15,5
2022-03-16,4
2022-03-17,3
2022-03-18,5
2022-03-19,6
2022-03-20,7
2022-03-21,7
2022-03-22,5
2022-03-23,5
2022-03-24,7
2022-03-25,5
2022-03-26,6
2022-03-27,5
2022-03-28,5
2022-03-29,4
2022-03-30,5
2022-03-31,5
2022-04-01,5
2022-04-02,7
2022-04-03,7
2022-04-04,7
2022-04-05,5
2022-04-06,4
2022-04-07,5
2022-04-08,6
2022-04-09,5
2022-04-10,5
2022-04-11,4
2022-04-12,5
2022-04-13,6
2022-04-14,6
2022-04-15,4
2022-04-16,6
2022-04-17,5
2022-04-18,7
2022-04-19,6
2022-04-20,6
2022-04-21,6
2022-04-22,5
2022-04-23,17
2022-04-24,11
2022-04-25,7
2022-04-26,7
2022-04-27,5
2022-04-28,4
2022-04-29,5
2022-04-30,4
2022-05-01,3
2022-05-02,5
2022-05-03,6
2022-05-04,5
2022-05-05,3
2022-05-06,4
2022-05-07,4
2022-05-08,4
2022-05-09,4
2022-05-10,6
2022-05-11,3
2022-05-12,7
2022-05-13,4
2022-05-14,7
2022-05-15,6
2022-05-16,5
2022-05-17,4
2022-05-18,5
2022-05-19,5
2022-05-20,7
2022-05-21,6
2022-05-22,5
2022-05-23,6
2022-05-24,5
2022-05-25,3
2022-05-26,6
2022-05-27,3
2022-05-28,5
2022-05-29,7
2022-05-30,5
2022-05-31,5
2022-06-01,4
2022-06-02,4
2022-06-03,3
2022-06-04,7
2022-06-05,6
2022-06-06,4
2022-06-07,8
2022-06-08,5
2022-06-09,4
2022-06-10,5
2022-06-11,6
2022-06-12,6
2022-06-13,8
2022-06-14,6
2022-06-15,6
2022-06-16,4
2022-06-17,5
2022-06-18,5
2022-06-19,6
2022-06-20,3
2022-06-21,4
2022-06-22,5
2022-06-23,4
2022-06-24,3
2022-06-25,5
2022-06-26,5
2022-06-27,4
2022-06-28,5
2022-06-29,3
2022-06-30,5
2022-07-01,4
2022-07-02,7
2022-07-03,5
2022-07-04,4
2022-07-05,4
2022-07-06,3
2022-07-07,3
2022-07-08,7
2022-07-09,4
2022-07-10,5
2022-07-11,4
2022-07-12,5
2022-07-13,3
2022-07-14,5
2022-07-15,5
2022-07-16,4
2022-07-17,4
2022-07-18,7
2022-07-19,7
2022-07-20,6
2022-07-21,5
2022-07-22,7
2022-07-23,5
2022-07-24,4
2022-07-25,4
2022-07-26,6
2022-07-27,5
2022-07-28,3
2022-07-29,6
2022-07-30,5
2022-07-31,4
2022-08-01,5
2022-08-02,4
2022-08-03,6
2022-08-04,4
2022-08-05,3
2022-08-06,7
2022-08-07,5
2022-08-08,4
2022-08-09,4
2022-08-10,5
2022-08-11,8
2022-08-12,6
2022-08-13,3
2022-08-14,6
2022-08-15,4
2022-08-16,2
2022-08-17,3
2022-08-18,5
2022-08-19,4
2022-08-20,6
2022-08-21,4
2022-08-22,3
2022-08-23,4
2022-08-24,4
2022-08-25,3
2022-08-26,0
2022-08-27,4
2022-08-28,5
2022-08-29,4
2022-08-30,3
2022-08-31,4
2022-09-01,3
2022-09-02,4
2022-09-03,3
2022-09-04,4
2022-09-05,3
2022-09-06,3
2022-09-07,0
2022-09-08,3
2022-09-09,6
2022-09-10,7
2022-09-11,6
2022-09-12,8
2022-09-13,10
2022-09-14,5
2022-09-15,5
2022-09-16,9
2022-09-17,5
2022-09-18,6
2022-09-19,3
2022-09-20,7
2022-09-21,3
2022-09-22,5
2022-09-23,8
2022-09-24,6
2022-09-25,6
2022-09-26,4
2022-09-27,3
