Time,paypal
2023-04-26,80
2023-04-27,81
2023-04-28,86
2023-04-29,75
2023-04-30,69
2023-05-01,89
2023-05-02,90
2023-05-03,85
2023-05-04,83
2023-05-05,81
2023-05-06,70
2023-05-07,62
2023-05-08,86
2023-05-09,83
2023-05-10,86
2023-05-11,85
2023-05-12,90
2023-05-13,74
2023-05-14,59
2023-05-15,87
2023-05-16,94
2023-05-17,90
2023-05-18,83
2023-05-19,84
2023-05-20,75
2023-05-21,67
2023-05-22,81
2023-05-23,84
2023-05-24,81
2023-05-25,84
2023-05-26,91
2023-05-27,74
2023-05-28,69
2023-05-29,67
2023-05-30,87
2023-05-31,91
2023-06-01,98
2023-06-02,96
2023-06-03,83
2023-06-04,71
2023-06-05,95
2023-06-06,93
2023-06-07,89
2023-06-08,91
2023-06-09,89
2023-06-10,76
2023-06-11,69
2023-06-12,86
2023-06-13,88
2023-06-14,90
2023-06-15,100
2023-06-16,93
2023-06-17,83
2023-06-18,68
2023-06-19,84
2023-06-20,93
2023-06-21,94
2023-06-22,87
2023-06-23,90
2023-06-24,78
2023-06-25,70
2023-06-26,87
2023-06-27,93
2023-06-28,86
2023-06-29,85
2023-06-30,88
2023-07-01,81
2023-07-02,70
2023-07-03,89
2023-07-04,75
2023-07-05,87
2023-07-06,93
2023-07-07,96
2023-07-08,77
2023-07-09,68
2023-07-10,84
2023-07-11,87
2023-07-12,88
2023-07-13,85
2023-07-14,93
2023-07-15,83
2023-07-16,71
2023-07-17,88
2023-07-18,89
2023-07-19,89
2023-07-20,82
2023-07-21,88
2023-07-22,68
2023-07-23,66
2023-07-24,91
2023-07-25,99
2023-07-26,98
2023-07-27,90
2023-07-28,88
2023-07-29,74
2023-07-30,66
2023-07-31,85
2023-08-01,93
2023-08-02,95
2023-08-03,98
2023-08-04,94
2023-08-05,76
2023-08-06,65
2023-08-07,89
2023-08-08,88
2023-08-09,87
2023-08-10,85
2023-08-11,92
2023-08-12,73
2023-08-13,64
2023-08-14,89
2023-08-15,93
2023-08-16,95
2023-08-17,90
2023-08-18,88
2023-08-19,75
2023-08-20,68
2023-08-21,88
2023-08-22,87
2023-08-23,90
2023-08-24,85
2023-08-25,79
2023-08-26,73
2023-08-27,65
2023-08-28,82
2023-08-29,84
2023-08-30,82
2023-08-31,81
2023-09-01,89
2023-09-02,73
2023-09-03,64
2023-09-04,72
2023-09-05,87
2023-09-06,81
2023-09-07,85
2023-09-08,88
2023-09-09,73
2023-09-10,61
2023-09-11,81
2023-09-12,83
2023-09-13,85
2023-09-14,82
2023-09-15,88
2023-09-16,70
2023-09-17,62
2023-09-18,81
2023-09-19,80
2023-09-20,79
2023-09-21,82
2023-09-22,80
2023-09-23,66
2023-09-24,60
2023-09-25,74
2023-09-26,81
2023-09-27,81
2023-09-28,83
2023-09-29,82
2023-09-30,70
2023-10-01,72
2023-10-02,88
2023-10-03,83
2023-10-04,83
2023-10-05,83
2023-10-06,84
2023-10-07,67
2023-10-08,57
2023-10-09,73
2023-10-10,83
2023-10-11,82
2023-10-12,80
2023-10-13,82
2023-10-14,71
2023-10-15,63
2023-10-16,77
2023-10-17,83
2023-10-18,76
2023-10-19,77
2023-10-20,80
2023-10-21,67
2023-10-22,57
2023-10-23,74
2023-10-24,78
2023-10-25,77
2023-10-26,77
2023-10-27,79
2023-10-28,64
2023-10-29,54
2023-10-30,76
2023-10-31,83
2023-11-01,90
2023-11-02,87
2023-11-03,89
2023-11-04,69
2023-11-05,61
2023-11-06,79
2023-11-07,79
2023-11-08,77
2023-11-09,78
2023-11-10,79
2023-11-11,68
2023-11-12,60
2023-11-13,77
2023-11-14,81
2023-11-15,89
2023-11-16,83
2023-11-17,84
2023-11-18,72
2023-11-19,60
2023-11-20,82
2023-11-21,85
2023-11-22,83
2023-11-23,59
2023-11-24,80
2023-11-25,80
2023-11-26,82
2023-11-27,89
2023-11-28,88
2023-11-29,88
2023-11-30,87
2023-12-01,93
2023-12-02,82
2023-12-03,75
2023-12-04,87
2023-12-05,93
2023-12-06,91
2023-12-07,85
2023-12-08,87
2023-12-09,79
2023-12-10,72
2023-12-11,84
2023-12-12,84
2023-12-13,87
2023-12-14,87
2023-12-15,100
2023-12-16,86
2023-12-17,70
2023-12-18,84
2023-12-19,88
2023-12-20,95
2023-12-21,89
2023-12-22,87
2023-12-23,71
2023-12-24,59
2023-12-25,58
2023-12-26,82
2023-12-27,85
2023-12-28,85
2023-12-29,86
2023-12-30,75
2023-12-31,69
2024-01-01,62
2024-01-02,91
2024-01-03,90
2024-01-04,86
2024-01-05,86
2024-01-06,73
2024-01-07,65
2024-01-08,75
2024-01-09,81
2024-01-10,85
2024-01-11,83
2024-01-12,85
2024-01-13,70
2024-01-14,62
2024-01-15,72
2024-01-16,83
2024-01-17,85
2024-01-18,84
2024-01-19,89
2024-01-20,78
