Time,pinterest
2022-01-01,61
2022-01-02,73
2022-01-03,70
2022-01-04,80
2022-01-05,76
2022-01-06,64
2022-01-07,70
2022-01-08,70
2022-01-09,69
2022-01-10,70
2022-01-11,76
2022-01-12,74
2022-01-13,59
2022-01-14,59
2022-01-15,66
2022-01-16,66
2022-01-17,65
2022-01-18,65
2022-01-19,64
2022-01-20,68
2022-01-21,61
2022-01-22,69
2022-01-23,71
2022-01-24,84
2022-01-25,58
2022-01-26,65
2022-01-27,65
2022-01-28,70
2022-01-29,73
2022-01-30,70
2022-01-31,73
2022-02-01,71
2022-02-02,72
2022-02-03,82
2022-02-04,77
2022-02-05,72
2022-02-06,76
2022-02-07,77
2022-02-08,81
2022-02-09,67
2022-02-10,62
2022-02-11,79
2022-02-12,67
2022-02-13,65
2022-02-14,66
2022-02-15,69
2022-02-16,71
2022-02-17,70
2022-02-18,71
2022-02-19,67
2022-02-20,68
2022-02-21,78
2022-02-22,78
2022-02-23,73
2022-02-24,67
2022-02-25,72
2022-02-26,73
2022-02-27,69
2022-02-28,71
2022-03-01,73
2022-03-02,68
2022-03-03,69
2022-03-04,68
2022-03-05,63
2022-03-06,67
2022-03-07,73
2022-03-08,72
2022-03-09,73
2022-03-10,71
2022-03-11,66
2022-03-12,68
2022-03-13,73
2022-03-14,73
2022-03-15,76
2022-03-16,69
2022-03-17,65
2022-03-18,62
2022-03-19,65
2022-03-20,67
2022-03-21,73
2022-03-22,75
2022-03-23,75
2022-03-24,71
2022-03-25,81
2022-03-26,78
2022-03-27,76
2022-03-28,79
2022-03-29,98
2022-03-30,74
2022-03-31,84
2022-04-01,77
2022-04-02,72
2022-04-03,79
2022-04-04,80
2022-04-05,83
2022-04-06,84
2022-04-07,87
2022-04-08,85
2022-04-09,77
2022-04-10,75
2022-04-11,84
2022-04-12,88
2022-04-13,82
2022-04-14,87
2022-04-15,82
2022-04-16,76
2022-04-17,72
2022-04-18,82
2022-04-19,84
2022-04-20,83
2022-04-21,81
2022-04-22,79
2022-04-23,71
2022-04-24,77
2022-04-25,84
2022-04-26,87
2022-04-27,85
2022-04-28,85
2022-04-29,77
2022-04-30,74
2022-05-01,77
2022-05-02,86
2022-05-03,86
2022-05-04,87
2022-05-05,82
2022-05-06,78
2022-05-07,74
2022-05-08,71
2022-05-09,79
2022-05-10,83
2022-05-11,79
2022-05-12,81
2022-05-13,73
2022-05-14,63
2022-05-15,67
2022-05-16,77
2022-05-17,83
2022-05-18,79
2022-05-19,76
2022-05-20,70
2022-05-21,64
2022-05-22,66
2022-05-23,84
2022-05-24,79
2022-05-25,75
2022-05-26,77
2022-05-27,70
2022-05-28,65
2022-05-29,64
2022-05-30,66
2022-05-31,78
2022-06-01,77
2022-06-02,82
2022-06-03,73
2022-06-04,66
2022-06-05,67
2022-06-06,74
2022-06-07,86
2022-06-08,80
2022-06-09,78
2022-06-10,70
2022-06-11,69
2022-06-12,68
2022-06-13,82
2022-06-14,80
2022-06-15,83
2022-06-16,78
2022-06-17,72
2022-06-18,63
2022-06-19,64
2022-06-20,76
2022-06-21,82
2022-06-22,83
2022-06-23,80
2022-06-24,70
2022-06-25,64
2022-06-26,68
2022-06-27,81
2022-06-28,85
2022-06-29,83
2022-06-30,76
2022-07-01,74
2022-07-02,66
2022-07-03,66
2022-07-04,63
2022-07-05,74
2022-07-06,80
2022-07-07,83
2022-07-08,78
2022-07-09,71
2022-07-10,72
2022-07-11,83
2022-07-12,84
2022-07-13,80
2022-07-14,84
2022-07-15,81
2022-07-16,67
2022-07-17,73
2022-07-18,85
2022-07-19,82
2022-07-20,85
2022-07-21,85
2022-07-22,74
2022-07-23,67
2022-07-24,69
2022-07-25,91
2022-07-26,94
2022-07-27,87
2022-07-28,88
2022-07-29,82
2022-07-30,71
2022-07-31,79
2022-08-01,95
2022-08-02,91
2022-08-03,88
2022-08-04,85
2022-08-05,79
2022-08-06,71
2022-08-07,79
2022-08-08,84
2022-08-09,90
2022-08-10,87
2022-08-11,90
2022-08-12,77
2022-08-13,69
2022-08-14,78
2022-08-15,91
2022-08-16,90
2022-08-17,90
2022-08-18,87
2022-08-19,88
2022-08-20,76
2022-08-21,86
2022-08-22,94
2022-08-23,100
2022-08-24,91
2022-08-25,90
2022-08-26,83
2022-08-27,73
2022-08-28,82
2022-08-29,88
2022-08-30,91
2022-08-31,96
2022-09-01,93
2022-09-02,80
2022-09-03,75
2022-09-04,73
2022-09-05,88
2022-09-06,86
2022-09-07,86
2022-09-08,80
2022-09-09,86
2022-09-10,69
2022-09-11,78
2022-09-12,96
2022-09-13,89
2022-09-14,92
2022-09-15,98
2022-09-16,87
2022-09-17,77
2022-09-18,80
2022-09-19,91
2022-09-20,93
2022-09-21,89
2022-09-22,90
2022-09-23,84
2022-09-24,77
2022-09-25,80
2022-09-26,91
2022-09-27,92
