Time,qqq
2022-01-01,11
2022-01-02,11
2022-01-03,28
2022-01-04,35
2022-01-05,36
2022-01-06,30
2022-01-07,34
2022-01-08,13
2022-01-09,10
2022-01-10,42
2022-01-11,34
2022-01-12,29
2022-01-13,36
2022-01-14,27
2022-01-15,11
2022-01-16,8
2022-01-17,9
2022-01-18,32
2022-01-19,36
2022-01-20,38
2022-01-21,56
2022-01-22,19
2022-01-23,13
2022-01-24,100
2022-01-25,52
2022-01-26,47
2022-01-27,41
2022-01-28,44
2022-01-29,12
2022-01-30,10
2022-01-31,38
2022-02-01,40
2022-02-02,42
2022-02-03,50
2022-02-04,40
2022-02-05,12
2022-02-06,7
2022-02-07,34
2022-02-08,35
2022-02-09,27
2022-02-10,31
2022-02-11,38
2022-02-12,13
2022-02-13,7
2022-02-14,37
2022-02-15,36
2022-02-16,34
2022-02-17,37
2022-02-18,43
2022-02-19,14
2022-02-20,9
2022-02-21,14
2022-02-22,47
2022-02-23,44
2022-02-24,66
2022-02-25,41
2022-02-26,12
2022-02-27,10
2022-02-28,41
2022-03-01,33
2022-03-02,32
2022-03-03,32
2022-03-04,36
2022-03-05,11
2022-03-06,7
2022-03-07,47
2022-03-08,43
2022-03-09,37
2022-03-10,36
2022-03-11,34
2022-03-12,13
2022-03-13,8
2022-03-14,40
2022-03-15,34
2022-03-16,45
2022-03-17,36
2022-03-18,39
2022-03-19,18
2022-03-20,12
2022-03-21,36
2022-03-22,32
2022-03-23,32
2022-03-24,31
2022-03-25,33
2022-03-26,11
2022-03-27,11
2022-03-28,31
2022-03-29,32
2022-03-30,33
2022-03-31,28
2022-04-01,26
2022-04-02,11
2022-04-03,10
2022-04-04,30
2022-04-05,30
2022-04-06,37
2022-04-07,29
2022-04-08,29
2022-04-09,10
2022-04-10,7
2022-04-11,34
2022-04-12,32
2022-04-13,28
2022-04-14,26
2022-04-15,13
2022-04-16,7
2022-04-17,6
2022-04-18,31
2022-04-19,28
2022-04-20,35
2022-04-21,33
2022-04-22,35
2022-04-23,11
2022-04-24,9
2022-04-25,36
2022-04-26,45
2022-04-27,39
2022-04-28,42
2022-04-29,40
2022-04-30,16
2022-05-01,10
2022-05-02,42
2022-05-03,32
2022-05-04,39
2022-05-05,54
2022-05-06,48
2022-05-07,14
2022-05-08,10
2022-05-09,66
2022-05-10,49
2022-05-11,60
2022-05-12,54
2022-05-13,45
2022-05-14,12
2022-05-15,9
2022-05-16,38
2022-05-17,35
2022-05-18,49
2022-05-19,47
2022-05-20,46
2022-05-21,14
2022-05-22,9
2022-05-23,38
2022-05-24,45
2022-05-25,37
2022-05-26,35
2022-05-27,37
2022-05-28,8
2022-05-29,8
2022-05-30,9
2022-05-31,35
2022-06-01,33
2022-06-02,32
2022-06-03,32
2022-06-04,8
2022-06-05,6
2022-06-06,31
2022-06-07,31
2022-06-08,28
2022-06-09,32
2022-06-10,40
2022-06-11,10
2022-06-12,8
2022-06-13,51
2022-06-14,40
2022-06-15,42
2022-06-16,49
2022-06-17,36
2022-06-18,11
2022-06-19,8
2022-06-20,14
2022-06-21,34
2022-06-22,32
2022-06-23,32
2022-06-24,32
2022-06-25,11
2022-06-26,6
2022-06-27,29
2022-06-28,31
2022-06-29,29
2022-06-30,32
2022-07-01,27
2022-07-02,8
2022-07-03,5
2022-07-04,7
2022-07-05,33
2022-07-06,31
2022-07-07,27
2022-07-08,28
2022-07-09,9
2022-07-10,6
2022-07-11,30
2022-07-12,27
2022-07-13,33
2022-07-14,31
2022-07-15,27
2022-07-16,8
2022-07-17,6
2022-07-18,29
2022-07-19,33
2022-07-20,35
2022-07-21,31
2022-07-22,29
2022-07-23,9
2022-07-24,5
2022-07-25,28
2022-07-26,29
2022-07-27,37
2022-07-28,42
2022-07-29,35
2022-07-30,10
2022-07-31,7
2022-08-01,31
2022-08-02,31
2022-08-03,32
2022-08-04,34
2022-08-05,29
2022-08-06,10
2022-08-07,7
2022-08-08,30
2022-08-09,29
2022-08-10,36
2022-08-11,35
2022-08-12,32
2022-08-13,10
2022-08-14,7
2022-08-15,32
2022-08-16,28
2022-08-17,28
2022-08-18,27
2022-08-19,28
2022-08-20,9
2022-08-21,7
2022-08-22,32
2022-08-23,29
2022-08-24,25
2022-08-25,25
2022-08-26,36
2022-08-27,13
2022-08-28,8
2022-08-29,35
2022-08-30,30
2022-08-31,30
2022-09-01,32
2022-09-02,28
2022-09-03,9
2022-09-04,6
2022-09-05,8
2022-09-06,31
2022-09-07,26
2022-09-08,24
2022-09-09,24
2022-09-10,10
2022-09-11,5
2022-09-12,27
2022-09-13,43
2022-09-14,35
2022-09-15,34
2022-09-16,34
2022-09-17,10
2022-09-18,7
2022-09-19,31
2022-09-20,30
2022-09-21,35
2022-09-22,32
2022-09-23,39
2022-09-24,11
2022-09-25,7
2022-09-26,33
2022-09-27,30
