Time,red sox
2022-01-01,3
2022-01-02,3
2022-01-03,3
2022-01-04,3
2022-01-05,3
2022-01-06,2
2022-01-07,3
2022-01-08,3
2022-01-09,3
2022-01-10,3
2022-01-11,3
2022-01-12,3
2022-01-13,3
2022-01-14,2
2022-01-15,3
2022-01-16,3
2022-01-17,2
2022-01-18,2
2022-01-19,3
2022-01-20,3
2022-01-21,3
2022-01-22,3
2022-01-23,3
2022-01-24,3
2022-01-25,3
2022-01-26,4
2022-01-27,3
2022-01-28,3
2022-01-29,3
2022-01-30,3
2022-01-31,3
2022-02-01,3
2022-02-02,3
2022-02-03,3
2022-02-04,3
2022-02-05,3
2022-02-06,3
2022-02-07,3
2022-02-08,3
2022-02-09,3
2022-02-10,3
2022-02-11,3
2022-02-12,3
2022-02-13,3
2022-02-14,3
2022-02-15,3
2022-02-16,3
2022-02-17,3
2022-02-18,3
2022-02-19,3
2022-02-20,3
2022-02-21,3
2022-02-22,3
2022-02-23,3
2022-02-24,2
2022-02-25,3
2022-02-26,3
2022-02-27,4
2022-02-28,3
2022-03-01,4
2022-03-02,4
2022-03-03,3
2022-03-04,2
2022-03-05,3
2022-03-06,3
2022-03-07,3
2022-03-08,3
2022-03-09,3
2022-03-10,5
2022-03-11,9
2022-03-12,10
2022-03-13,10
2022-03-14,8
2022-03-15,9
2022-03-16,10
2022-03-17,12
2022-03-18,11
2022-03-19,12
2022-03-20,16
2022-03-21,12
2022-03-22,11
2022-03-23,10
2022-03-24,10
2022-03-25,9
2022-03-26,10
2022-03-27,10
2022-03-28,7
2022-03-29,8
2022-03-30,9
2022-03-31,9
2022-04-01,8
2022-04-02,10
2022-04-03,11
2022-04-04,9
2022-04-05,11
2022-04-06,11
2022-04-07,14
2022-04-08,59
2022-04-09,38
2022-04-10,31
2022-04-11,44
2022-04-12,31
2022-04-13,26
2022-04-14,15
2022-04-15,38
2022-04-16,34
2022-04-17,41
2022-04-18,33
2022-04-19,16
2022-04-20,27
2022-04-21,33
2022-04-22,15
2022-04-23,32
2022-04-24,35
2022-04-25,13
2022-04-26,15
2022-04-27,19
2022-04-28,22
2022-04-29,12
2022-04-30,22
2022-05-01,35
2022-05-02,13
2022-05-03,12
2022-05-04,21
2022-05-05,32
2022-05-06,18
2022-05-07,38
2022-05-08,36
2022-05-09,11
2022-05-10,14
2022-05-11,21
2022-05-12,18
2022-05-13,13
2022-05-14,22
2022-05-15,29
2022-05-16,14
2022-05-17,28
2022-05-18,24
2022-05-19,19
2022-05-20,25
2022-05-21,40
2022-05-22,37
2022-05-23,14
2022-05-24,13
2022-05-25,24
2022-05-26,25
2022-05-27,34
2022-05-28,59
2022-05-29,40
2022-05-30,22
2022-05-31,22
2022-06-01,21
2022-06-02,18
2022-06-03,13
2022-06-04,34
2022-06-05,25
2022-06-06,15
2022-06-07,21
2022-06-08,25
2022-06-09,27
2022-06-10,23
2022-06-11,27
2022-06-12,39
2022-06-13,16
2022-06-14,15
2022-06-15,24
2022-06-16,33
2022-06-17,17
2022-06-18,36
2022-06-19,44
2022-06-20,20
2022-06-21,27
2022-06-22,28
2022-06-23,25
2022-06-24,16
2022-06-25,33
2022-06-26,44
2022-06-27,18
2022-06-28,19
2022-06-29,24
2022-06-30,28
2022-07-01,25
2022-07-02,21
2022-07-03,46
2022-07-04,35
2022-07-05,20
2022-07-06,31
2022-07-07,31
2022-07-08,40
2022-07-09,49
2022-07-10,63
2022-07-11,51
2022-07-12,31
2022-07-13,26
2022-07-14,21
2022-07-15,25
2022-07-16,52
2022-07-17,59
2022-07-18,17
2022-07-19,12
2022-07-20,11
2022-07-21,12
2022-07-22,15
2022-07-23,100
2022-07-24,45
2022-07-25,21
2022-07-26,31
2022-07-27,28
2022-07-28,30
2022-07-29,28
2022-07-30,38
2022-07-31,35
2022-08-01,22
2022-08-02,48
2022-08-03,37
2022-08-04,17
2022-08-05,21
2022-08-06,28
2022-08-07,32
2022-08-08,14
2022-08-09,16
2022-08-10,30
2022-08-11,23
2022-08-12,21
2022-08-13,38
2022-08-14,41
2022-08-15,28
2022-08-16,15
2022-08-17,18
2022-08-18,19
2022-08-19,19
2022-08-20,33
2022-08-21,22
2022-08-22,20
2022-08-23,14
2022-08-24,19
2022-08-25,19
2022-08-26,24
2022-08-27,35
2022-08-28,23
2022-08-29,12
2022-08-30,16
2022-08-31,15
2022-09-01,17
2022-09-02,18
2022-09-03,26
2022-09-04,23
2022-09-05,20
2022-09-06,12
2022-09-07,13
2022-09-08,12
2022-09-09,9
2022-09-10,18
2022-09-11,18
2022-09-12,10
2022-09-13,12
2022-09-14,27
2022-09-15,20
2022-09-16,11
2022-09-17,21
2022-09-18,17
2022-09-19,8
2022-09-20,9
2022-09-21,13
2022-09-22,14
2022-09-23,30
2022-09-24,43
2022-09-25,16
2022-09-26,20
2022-09-27,14
