Time,rockauto
2022-01-01,53.0
2022-01-02,55.0
2022-01-03,65.0
2022-01-04,73.0
2022-01-05,66.0
2022-01-06,53.0
2022-01-07,64.0
2022-01-08,68.0
2022-01-09,66.0
2022-01-10,61.0
2022-01-11,67.0
2022-01-12,66.0
2022-01-13,69.0
2022-01-14,53.0
2022-01-15,66.0
2022-01-16,54.0
2022-01-17,54.0
2022-01-18,52.0
2022-01-19,63.0
2022-01-20,60.0
2022-01-21,67.0
2022-01-22,71.0
2022-01-23,65.0
2022-01-24,78.0
2022-01-25,60.0
2022-01-26,61.0
2022-01-27,64.0
2022-01-28,64.0
2022-01-29,72.0
2022-01-30,69.0
2022-01-31,74.0
2022-02-01,73.0
2022-02-02,67.0
2022-02-03,63.0
2022-02-04,64.0
2022-02-05,76.0
2022-02-06,74.0
2022-02-07,73.0
2022-02-08,74.0
2022-02-09,69.0
2022-02-10,64.0
2022-02-11,74.0
2022-02-12,86.0
2022-02-13,67.0
2022-02-14,68.0
2022-02-15,75.0
2022-02-16,77.0
2022-02-17,72.0
2022-02-18,75.0
2022-02-19,83.0
2022-02-20,80.0
2022-02-21,86.0
2022-02-22,80.0
2022-02-23,87.0
2022-02-24,70.0
2022-02-25,74.0
2022-02-26,79.0
2022-02-27,80.0
2022-02-28,85.0
2022-03-01,88.0
2022-03-02,91.0
2022-03-03,86.0
2022-03-04,81.0
2022-03-05,92.0
2022-03-06,95.0
2022-03-07,90.0
2022-03-08,83.0
2022-03-09,82.0
2022-03-10,81.0
2022-03-11,79.0
2022-03-12,77.0
2022-03-13,80.0
2022-03-14,78.0
2022-03-15,84.0
2022-03-16,85.0
2022-03-17,81.0
2022-03-18,85.0
2022-03-19,92.0
2022-03-20,88.0
2022-03-21,96.0
2022-03-22,92.0
2022-03-23,84.0
2022-03-24,83.0
2022-03-25,76.0
2022-03-26,87.0
2022-03-27,85.0
2022-03-28,77.0
2022-03-29,84.0
2022-03-30,86.0
2022-03-31,83.0
2022-04-01,82.0
2022-04-02,100.0
2022-04-03,96.0
2022-04-04,84.0
2022-04-05,85.0
2022-04-06,84.0
2022-04-07,79.0
2022-04-08,82.0
2022-04-09,95.0
2022-04-10,96.0
2022-04-11,90.0
2022-04-12,85.0
2022-04-13,85.0
2022-04-14,81.0
2022-04-15,88.0
2022-04-16,91.0
2022-04-17,83.0
2022-04-18,84.0
2022-04-19,80.0
2022-04-20,79.0
2022-04-21,83.0
2022-04-22,81.0
2022-04-23,94.0
2022-04-24,95.0
2022-04-25,87.0
2022-04-26,84.0
2022-04-27,79.0
2022-04-28,86.0
2022-04-29,81.0
2022-04-30,87.0
2022-05-01,90.0
2022-05-02,85.0
2022-05-03,82.0
2022-05-04,79.0
2022-05-05,80.0
2022-05-06,79.0
2022-05-07,82.0
2022-05-08,81.0
2022-05-09,82.0
2022-05-10,86.0
2022-05-11,83.0
2022-05-12,80.0
2022-05-13,80.0
2022-05-14,92.0
2022-05-15,93.0
2022-05-16,85.0
2022-05-17,84.0
2022-05-18,81.0
2022-05-19,84.0
2022-05-20,86.0
2022-05-21,92.0
2022-05-22,89.0
2022-05-23,82.0
2022-05-24,85.0
2022-05-25,78.0
2022-05-26,86.0
2022-05-27,79.0
2022-05-28,85.0
2022-05-29,81.0
2022-05-30,79.0
2022-05-31,87.0
2022-06-01,83.0
2022-06-02,80.0
2022-06-03,81.0
2022-06-04,96.0
2022-06-05,94.0
2022-06-06,87.0
2022-06-07,91.0
2022-06-08,87.0
2022-06-09,83.0
2022-06-10,82.0
2022-06-11,89.0
2022-06-12,88.0
2022-06-13,85.0
2022-06-14,85.0
2022-06-15,87.0
2022-06-16,87.0
2022-06-17,88.0
2022-06-18,91.0
2022-06-19,91.0
2022-06-20,93.0
2022-06-21,93.0
2022-06-22,89.0
2022-06-23,89.0
2022-06-24,86.0
2022-06-25,92.0
2022-06-26,89.0
2022-06-27,91.0
2022-06-28,87.0
2022-06-29,89.0
2022-06-30,88.0
2022-07-01,91.0
2022-07-02,87.0
2022-07-03,86.0
2022-07-04,78.0
2022-07-05,86.0
2022-07-06,86.0
2022-07-07,87.0
2022-07-08,95.0
2022-07-09,98.0
2022-07-10,85.0
2022-07-11,95.0
2022-07-12,89.0
2022-07-13,94.0
2022-07-14,94.0
2022-07-15,83.0
2022-07-16,96.0
2022-07-17,94.0
2022-07-18,90.0
2022-07-19,93.0
2022-07-20,95.0
2022-07-21,88.0
2022-07-22,87.0
2022-07-23,96.0
2022-07-24,84.0
2022-07-25,92.0
2022-07-26,95.0
2022-07-27,89.0
2022-07-28,86.0
2022-07-29,84.0
2022-07-30,86.0
2022-07-31,87.0
2022-08-01,87.0
2022-08-02,90.0
2022-08-03,85.0
2022-08-04,87.0
2022-08-05,92.0
2022-08-06,98.0
2022-08-07,92.0
2022-08-08,98.0
2022-08-09,93.0
2022-08-10,90.0
2022-08-11,91.0
2022-08-12,88.0
2022-08-13,94.0
2022-08-14,94.0
2022-08-15,91.0
2022-08-16,94.0
2022-08-17,91.0
2022-08-18,91.0
2022-08-19,88.0
2022-08-20,93.0
2022-08-21,93.0
2022-08-22,90.0
2022-08-23,96.0
2022-08-24,87.0
2022-08-25,85.0
2022-08-26,83.0
2022-08-27,97.0
2022-08-28,93.0
2022-08-29,92.03474706182932
2022-08-30,86.9191364333163
2022-08-31,87.44225855901891
2022-09-01,82.82664793050587
2022-09-02,86.9191364333163
2022-09-03,89.98850281042411
2022-09-04,84.87289218191108
2022-09-05,88.46538068472151
2022-09-06,89.98850281042411
2022-09-07,88.96538068472151
2022-09-08,77.21103730199283
2022-09-09,78.23415942769545
2022-09-10,89.48850281042411
2022-09-11,82.32664793050587
2022-09-12,87.44225855901891
2022-09-13,84.87289218191108
2022-09-14,91.01162493612672
2022-09-15,80.78040367910066
2022-09-16,87.44225855901891
2022-09-17,97.15035769034236
2022-09-18,89.98850281042411
2022-09-19,88.96538068472151
2022-09-20,94.08099131323453
2022-09-21,91.01162493612672
2022-09-22,80.28040367910066
2022-09-23,82.32664793050587
2022-09-24,93.05786918753194
2022-09-25,88.96538068472151
2022-09-26,89.98850281042411
2022-09-27,87.94225855901891
