Time,sam's club
2022-08-29,47
2022-08-30,49
2022-08-31,56
2022-09-01,60
2022-09-02,59
2022-09-03,70
2022-09-04,79
2022-09-05,100
2022-09-06,48
2022-09-07,48
2022-09-08,45
2022-09-09,48
2022-09-10,63
2022-09-11,68
2022-09-12,46
2022-09-13,45
2022-09-14,50
2022-09-15,50
2022-09-16,51
2022-09-17,64
2022-09-18,67
2022-09-19,41
2022-09-20,45
2022-09-21,51
2022-09-22,48
2022-09-23,54
2022-09-24,67
2022-09-25,67
2022-09-26,48
2022-09-27,52
2022-09-28,46
2022-09-29,47
2022-09-30,51
2022-10-01,65
2022-10-02,65
2022-10-03,48
2022-10-04,49
2022-10-05,49
2022-10-06,54
2022-10-07,57
2022-10-08,70
2022-10-09,68
2022-10-10,51
2022-10-11,51
2022-10-12,49
2022-10-13,49
2022-10-14,53
2022-10-15,66
2022-10-16,69
2022-10-17,49
2022-10-18,50
2022-10-19,52
2022-10-20,61
2022-10-21,54
2022-10-22,66
2022-10-23,64
2022-10-24,47
2022-10-25,47
2022-10-26,51
2022-10-27,51
2022-10-28,55
2022-10-29,66
2022-10-30,71
2022-10-31,46
2022-11-01,45
2022-11-02,48
2022-11-03,49
2022-11-04,56
2022-11-05,73
2022-11-06,70
2022-11-07,51
2022-11-08,48
2022-11-09,44
2022-11-10,46
2022-11-11,59
2022-11-12,65
2022-11-13,69
2022-11-14,51
2022-11-15,57
2022-11-16,54
2022-11-17,57
2022-11-18,60
2022-11-19,74
2022-11-20,81
2022-11-21,64
2022-11-22,66
2022-11-23,77
2022-11-24,74
2022-11-25,84
2022-11-26,70
2022-11-27,72
2022-11-28,54
2022-11-29,48
2022-11-30,48
2022-12-01,50
2022-12-02,54
2022-12-03,69
2022-12-04,70
2022-12-05,51
2022-12-06,50
2022-12-07,52
2022-12-08,52
2022-12-09,54
2022-12-10,72
2022-12-11,75
2022-12-12,55
2022-12-13,52
2022-12-14,53
2022-12-15,55
2022-12-16,59
2022-12-17,76
2022-12-18,81
2022-12-19,66
2022-12-20,68
2022-12-21,72
2022-12-22,69
2022-12-23,70
2022-12-24,85
2022-12-25,37
2022-12-26,70
2022-12-27,62
2022-12-28,64
2022-12-29,60
2022-12-30,63
2022-12-31,79
2023-01-01,80
2023-01-02,67
2023-01-03,45
2023-01-04,46
2023-01-05,49
2023-01-06,50
2023-01-07,65
2023-01-08,68
2023-01-09,44
2023-01-10,44
2023-01-11,44
2023-01-12,47
2023-01-13,49
2023-01-14,66
2023-01-15,62
2023-01-16,60
2023-01-17,42
2023-01-18,43
2023-01-19,43
2023-01-20,46
2023-01-21,64
2023-01-22,64
2023-01-23,43
2023-01-24,43
2023-01-25,44
2023-01-26,41
2023-01-27,50
2023-01-28,64
2023-01-29,59
2023-01-30,42
2023-01-31,43
2023-02-01,45
2023-02-02,46
2023-02-03,51
2023-02-04,65
2023-02-05,75
2023-02-06,45
2023-02-07,42
2023-02-08,44
2023-02-09,45
2023-02-10,51
2023-02-11,76
2023-02-12,66
2023-02-13,37
2023-02-14,38
2023-02-15,42
2023-02-16,40
2023-02-17,46
2023-02-18,63
2023-02-19,67
2023-02-20,51
2023-02-21,42
2023-02-22,40
2023-02-23,40
2023-02-24,48
2023-02-25,66
2023-02-26,70
2023-02-27,45
2023-02-28,42
2023-03-01,45
2023-03-02,44
2023-03-03,45
2023-03-04,61
2023-03-05,69
2023-03-06,47
2023-03-07,44
2023-03-08,45
2023-03-09,45
2023-03-10,50
2023-03-11,64
2023-03-12,66
2023-03-13,44
2023-03-14,43
2023-03-15,49
2023-03-16,46
2023-03-17,47
2023-03-18,65
2023-03-19,68
2023-03-20,46
2023-03-21,45
2023-03-22,45
2023-03-23,47
2023-03-24,52
2023-03-25,62
2023-03-26,68
2023-03-27,44
2023-03-28,42
2023-03-29,45
2023-03-30,44
2023-03-31,45
2023-04-01,63
2023-04-02,66
2023-04-03,43
2023-04-04,44
2023-04-05,44
2023-04-06,51
2023-04-07,59
2023-04-08,69
2023-04-09,74
2023-04-10,47
2023-04-11,47
2023-04-12,55
2023-04-13,63
2023-04-14,77
2023-04-15,84
2023-04-16,83
2023-04-17,56
2023-04-18,54
2023-04-19,58
2023-04-20,49
2023-04-21,53
2023-04-22,68
2023-04-23,73
2023-04-24,51
2023-04-25,44
2023-04-26,44
2023-04-27,44
2023-04-28,49
2023-04-29,64
2023-04-30,66
2023-05-01,47
2023-05-02,47
2023-05-03,49
2023-05-04,47
2023-05-05,51
2023-05-06,64
2023-05-07,68
2023-05-08,48
2023-05-09,45
2023-05-10,48
2023-05-11,46
2023-05-12,52
2023-05-13,67
2023-05-14,59
2023-05-15,49
2023-05-16,47
2023-05-17,47
2023-05-18,50
2023-05-19,46
2023-05-20,63
2023-05-21,65
2023-05-22,48
2023-05-23,43
2023-05-24,46
2023-05-25,49
