Time,sentient
2022-08-29,24
2022-08-30,24
2022-08-31,22
2022-09-01,21
2022-09-02,19
2022-09-03,20
2022-09-04,21
2022-09-05,22
2022-09-06,20
2022-09-07,21
2022-09-08,20
2022-09-09,22
2022-09-10,21
2022-09-11,22
2022-09-12,19
2022-09-13,16
2022-09-14,32
2022-09-15,24
2022-09-16,26
2022-09-17,30
2022-09-18,20
2022-09-19,21
2022-09-20,19
2022-09-21,20
2022-09-22,22
2022-09-23,23
2022-09-24,25
2022-09-25,28
2022-09-26,21
2022-09-27,21
2022-09-28,20
2022-09-29,19
2022-09-30,20
2022-10-01,18
2022-10-02,20
2022-10-03,19
2022-10-04,20
2022-10-05,22
2022-10-06,21
2022-10-07,24
2022-10-08,21
2022-10-09,25
2022-10-10,22
2022-10-11,21
2022-10-12,19
2022-10-13,25
2022-10-14,23
2022-10-15,19
2022-10-16,18
2022-10-17,20
2022-10-18,18
2022-10-19,16
2022-10-20,22
2022-10-21,19
2022-10-22,17
2022-10-23,21
2022-10-24,15
2022-10-25,19
2022-10-26,20
2022-10-27,23
2022-10-28,15
2022-10-29,19
2022-10-30,17
2022-10-31,22
2022-11-01,20
2022-11-02,18
2022-11-03,26
2022-11-04,23
2022-11-05,21
2022-11-06,22
2022-11-07,18
2022-11-08,19
2022-11-09,18
2022-11-10,17
2022-11-11,18
2022-11-12,17
2022-11-13,18
2022-11-14,21
2022-11-15,23
2022-11-16,23
2022-11-17,21
2022-11-18,20
2022-11-19,16
2022-11-20,21
2022-11-21,16
2022-11-22,17
2022-11-23,18
2022-11-24,21
2022-11-25,17
2022-11-26,22
2022-11-27,18
2022-11-28,25
2022-11-29,19
2022-11-30,19
2022-12-01,18
2022-12-02,21
2022-12-03,19
2022-12-04,19
2022-12-05,20
2022-12-06,24
2022-12-07,20
2022-12-08,25
2022-12-09,25
2022-12-10,22
2022-12-11,20
2022-12-12,18
2022-12-13,23
2022-12-14,22
2022-12-15,19
2022-12-16,20
2022-12-17,19
2022-12-18,21
2022-12-19,21
2022-12-20,22
2022-12-21,21
2022-12-22,21
2022-12-23,21
2022-12-24,20
2022-12-25,20
2022-12-26,25
2022-12-27,20
2022-12-28,19
2022-12-29,24
2022-12-30,30
2022-12-31,28
2023-01-01,26
2023-01-02,26
2023-01-03,21
2023-01-04,23
2023-01-05,22
2023-01-06,24
2023-01-07,28
2023-01-08,19
2023-01-09,23
2023-01-10,23
2023-01-11,23
2023-01-12,22
2023-01-13,21
2023-01-14,21
2023-01-15,19
2023-01-16,22
2023-01-17,22
2023-01-18,20
2023-01-19,26
2023-01-20,23
2023-01-21,24
2023-01-22,20
2023-01-23,23
2023-01-24,21
2023-01-25,21
2023-01-26,26
2023-01-27,21
2023-01-28,25
2023-01-29,29
2023-01-30,28
2023-01-31,24
2023-02-01,28
2023-02-02,29
2023-02-03,26
2023-02-04,28
2023-02-05,33
2023-02-06,29
2023-02-07,34
2023-02-08,31
2023-02-09,22
2023-02-10,27
2023-02-11,26
2023-02-12,24
2023-02-13,24
2023-02-14,23
2023-02-15,28
2023-02-16,46
2023-02-17,69
2023-02-18,39
2023-02-19,32
2023-02-20,35
2023-02-21,25
2023-02-22,38
2023-02-23,25
2023-02-24,26
2023-02-25,34
2023-02-26,29
2023-02-27,25
2023-02-28,32
2023-03-01,32
2023-03-02,52
2023-03-03,48
2023-03-04,35
2023-03-05,32
2023-03-06,25
2023-03-07,30
2023-03-08,28
2023-03-09,22
2023-03-10,24
2023-03-11,24
2023-03-12,21
2023-03-13,21
2023-03-14,21
2023-03-15,21
2023-03-16,21
2023-03-17,25
2023-03-18,24
2023-03-19,21
2023-03-20,21
2023-03-21,21
2023-03-22,22
2023-03-23,24
2023-03-24,36
2023-03-25,35
2023-03-26,26
2023-03-27,22
2023-03-28,26
2023-03-29,31
2023-03-30,34
2023-03-31,25
2023-04-01,24
2023-04-02,31
2023-04-03,27
2023-04-04,100
2023-04-05,32
2023-04-06,30
2023-04-07,30
2023-04-08,27
2023-04-09,23
2023-04-10,23
2023-04-11,27
2023-04-12,24
2023-04-13,19
2023-04-14,26
2023-04-15,19
2023-04-16,33
2023-04-17,39
2023-04-18,26
2023-04-19,28
2023-04-20,21
2023-04-21,26
2023-04-22,29
2023-04-23,23
2023-04-24,23
2023-04-25,24
2023-04-26,24
2023-04-27,25
2023-04-28,25
2023-04-29,25
2023-04-30,47
2023-05-01,77
2023-05-02,53
2023-05-03,28
2023-05-04,28
2023-05-05,26
2023-05-06,26
2023-05-07,23
2023-05-08,23
2023-05-09,25
2023-05-10,23
2023-05-11,22
2023-05-12,25
2023-05-13,24
2023-05-14,27
2023-05-15,25
2023-05-16,24
2023-05-17,24
2023-05-18,26
2023-05-19,19
2023-05-20,23
2023-05-21,21
2023-05-22,20
2023-05-23,18
2023-05-24,22
2023-05-25,20
