Time,severe_thunderstorm_warning
2022-01-01,7.0
2022-01-02,11.0
2022-01-03,12.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,2.0
2022-01-09,2.0
2022-01-10,3.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,15.0
2022-01-17,11.0
2022-01-18,0.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,2.0
2022-02-04,2.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,6.0
2022-02-18,24.0
2022-02-19,1.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,10.0
2022-02-23,2.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,2.0
2022-03-06,61.0
2022-03-07,14.0
2022-03-08,99.0
2022-03-09,4.0
2022-03-10,2.0
2022-03-11,2.0
2022-03-12,35.0
2022-03-13,1.0
2022-03-14,6.0
2022-03-15,6.0
2022-03-16,14.0
2022-03-17,1.0
2022-03-18,14.0
2022-03-19,6.0
2022-03-20,1.0
2022-03-21,26.0
2022-03-22,35.0
2022-03-23,13.0
2022-03-24,2.0
2022-03-25,9.0
2022-03-26,4.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,30.0
2022-03-31,53.0
2022-04-01,23.0
2022-04-02,13.0
2022-04-03,4.0
2022-04-04,5.0
2022-04-05,45.0
2022-04-06,12.0
2022-04-07,23.0
2022-04-08,5.0
2022-04-09,2.0
2022-04-10,1.0
2022-04-11,15.0
2022-04-12,28.0
2022-04-13,49.0
2022-04-14,47.0
2022-04-15,5.0
2022-04-16,6.0
2022-04-17,15.0
2022-04-18,10.0
2022-04-19,1.0
2022-04-20,1.0
2022-04-21,1.0
2022-04-22,1.0
2022-04-23,11.0
2022-04-24,13.0
2022-04-25,14.0
2022-04-26,21.0
2022-04-27,1.0
2022-04-28,3.0
2022-04-29,3.0
2022-04-30,33.0
2022-05-01,22.0
2022-05-02,13.0
2022-05-03,39.0
2022-05-04,12.0
