Time,southwest
2022-08-29,24
2022-08-30,22
2022-08-31,23
2022-09-01,24
2022-09-02,23
2022-09-03,20
2022-09-04,18
2022-09-05,23
2022-09-06,26
2022-09-07,28
2022-09-08,27
2022-09-09,25
2022-09-10,19
2022-09-11,19
2022-09-12,24
2022-09-13,24
2022-09-14,24
2022-09-15,24
2022-09-16,23
2022-09-17,20
2022-09-18,19
2022-09-19,24
2022-09-20,24
2022-09-21,23
2022-09-22,22
2022-09-23,22
2022-09-24,20
2022-09-25,20
2022-09-26,24
2022-09-27,24
2022-09-28,23
2022-09-29,23
2022-09-30,24
2022-10-01,19
2022-10-02,19
2022-10-03,23
2022-10-04,27
2022-10-05,30
2022-10-06,30
2022-10-07,25
2022-10-08,19
2022-10-09,19
2022-10-10,24
2022-10-11,22
2022-10-12,23
2022-10-13,23
2022-10-14,22
2022-10-15,18
2022-10-16,19
2022-10-17,24
2022-10-18,23
2022-10-19,22
2022-10-20,21
2022-10-21,21
2022-10-22,19
2022-10-23,19
2022-10-24,22
2022-10-25,23
2022-10-26,23
2022-10-27,25
2022-10-28,22
2022-10-29,18
2022-10-30,17
2022-10-31,20
2022-11-01,21
2022-11-02,23
2022-11-03,21
2022-11-04,23
2022-11-05,20
2022-11-06,17
2022-11-07,22
2022-11-08,21
2022-11-09,21
2022-11-10,22
2022-11-11,20
2022-11-12,17
2022-11-13,18
2022-11-14,21
2022-11-15,22
2022-11-16,20
2022-11-17,22
2022-11-18,22
2022-11-19,19
2022-11-20,18
2022-11-21,19
2022-11-22,22
2022-11-23,20
2022-11-24,14
2022-11-25,17
2022-11-26,17
2022-11-27,20
2022-11-28,24
2022-11-29,26
2022-11-30,23
2022-12-01,23
2022-12-02,20
2022-12-03,16
2022-12-04,17
2022-12-05,20
2022-12-06,20
2022-12-07,20
2022-12-08,20
2022-12-09,19
2022-12-10,17
2022-12-11,17
2022-12-12,19
2022-12-13,19
2022-12-14,19
2022-12-15,20
2022-12-16,21
2022-12-17,20
2022-12-18,18
2022-12-19,21
2022-12-20,22
2022-12-21,26
2022-12-22,28
2022-12-23,30
2022-12-24,33
2022-12-25,31
2022-12-26,53
2022-12-27,100
2022-12-28,81
2022-12-29,65
2022-12-30,44
2022-12-31,29
2023-01-01,24
2023-01-02,30
2023-01-03,30
2023-01-04,34
2023-01-05,29
2023-01-06,27
2023-01-07,23
2023-01-08,22
2023-01-09,25
2023-01-10,29
2023-01-11,34
2023-01-12,31
2023-01-13,26
2023-01-14,22
2023-01-15,20
2023-01-16,24
2023-01-17,25
2023-01-18,25
2023-01-19,23
2023-01-20,22
2023-01-21,19
2023-01-22,19
2023-01-23,24
2023-01-24,23
2023-01-25,23
2023-01-26,24
2023-01-27,22
2023-01-28,20
2023-01-29,22
2023-01-30,24
2023-01-31,26
2023-02-01,24
2023-02-02,25
2023-02-03,23
2023-02-04,21
2023-02-05,21
2023-02-06,25
2023-02-07,25
2023-02-08,24
2023-02-09,24
2023-02-10,24
2023-02-11,21
2023-02-12,19
2023-02-13,20
2023-02-14,23
2023-02-15,25
2023-02-16,25
2023-02-17,24
2023-02-18,21
2023-02-19,20
2023-02-20,24
2023-02-21,25
2023-02-22,26
2023-02-23,26
2023-02-24,24
2023-02-25,22
2023-02-26,20
2023-02-27,24
2023-02-28,25
2023-03-01,25
2023-03-02,24
2023-03-03,23
2023-03-04,21
2023-03-05,22
2023-03-06,26
2023-03-07,25
2023-03-08,25
2023-03-09,26
2023-03-10,25
2023-03-11,23
2023-03-12,23
2023-03-13,25
2023-03-14,25
2023-03-15,24
2023-03-16,24
2023-03-17,22
2023-03-18,20
2023-03-19,21
2023-03-20,24
2023-03-21,25
2023-03-22,24
2023-03-23,25
2023-03-24,23
2023-03-25,21
2023-03-26,23
2023-03-27,24
2023-03-28,23
2023-03-29,23
2023-03-30,24
2023-03-31,22
2023-04-01,24
2023-04-02,23
2023-04-03,24
2023-04-04,25
2023-04-05,25
2023-04-06,24
2023-04-07,21
2023-04-08,17
2023-04-09,18
2023-04-10,23
2023-04-11,23
2023-04-12,24
2023-04-13,23
2023-04-14,23
2023-04-15,20
2023-04-16,21
2023-04-17,24
2023-04-18,37
2023-04-19,27
2023-04-20,26
2023-04-21,25
2023-04-22,23
2023-04-23,20
2023-04-24,23
2023-04-25,22
2023-04-26,22
2023-04-27,23
2023-04-28,21
2023-04-29,19
2023-04-30,22
2023-05-01,24
2023-05-02,24
2023-05-03,21
2023-05-04,22
2023-05-05,20
2023-05-06,18
2023-05-07,19
2023-05-08,24
2023-05-09,22
2023-05-10,23
2023-05-11,22
2023-05-12,22
2023-05-13,20
2023-05-14,20
2023-05-15,26
2023-05-16,24
2023-05-17,23
2023-05-18,23
2023-05-19,23
2023-05-20,20
2023-05-21,20
2023-05-22,23
2023-05-23,23
2023-05-24,23
2023-05-25,23
