Time,sports
2023-04-26,53
2023-04-27,56
2023-04-28,55
2023-04-29,64
2023-04-30,65
2023-05-01,55
2023-05-02,52
2023-05-03,53
2023-05-04,53
2023-05-05,51
2023-05-06,60
2023-05-07,61
2023-05-08,50
2023-05-09,51
2023-05-10,52
2023-05-11,51
2023-05-12,52
2023-05-13,60
2023-05-14,52
2023-05-15,60
2023-05-16,68
2023-05-17,67
2023-05-18,58
2023-05-19,57
2023-05-20,66
2023-05-21,61
2023-05-22,54
2023-05-23,51
2023-05-24,53
2023-05-25,49
2023-05-26,50
2023-05-27,58
2023-05-28,59
2023-05-29,52
2023-05-30,51
2023-05-31,49
2023-06-01,48
2023-06-02,50
2023-06-03,54
2023-06-04,56
2023-06-05,51
2023-06-06,47
2023-06-07,50
2023-06-08,50
2023-06-09,50
2023-06-10,57
2023-06-11,54
2023-06-12,49
2023-06-13,48
2023-06-14,49
2023-06-15,48
2023-06-16,49
2023-06-17,55
2023-06-18,54
2023-06-19,48
2023-06-20,46
2023-06-21,43
2023-06-22,44
2023-06-23,47
2023-06-24,51
2023-06-25,51
2023-06-26,46
2023-06-27,46
2023-06-28,44
2023-06-29,44
2023-06-30,45
2023-07-01,52
2023-07-02,53
2023-07-03,47
2023-07-04,46
2023-07-05,44
2023-07-06,46
2023-07-07,47
2023-07-08,53
2023-07-09,55
2023-07-10,46
2023-07-11,45
2023-07-12,45
2023-07-13,51
2023-07-14,46
2023-07-15,55
2023-07-16,52
2023-07-17,48
2023-07-18,47
2023-07-19,48
2023-07-20,47
2023-07-21,48
2023-07-22,55
2023-07-23,49
2023-07-24,46
2023-07-25,48
2023-07-26,49
2023-07-27,50
2023-07-28,48
2023-07-29,56
2023-07-30,55
2023-07-31,47
2023-08-01,51
2023-08-02,48
2023-08-03,51
2023-08-04,49
2023-08-05,55
2023-08-06,58
2023-08-07,51
2023-08-08,51
2023-08-09,51
2023-08-10,51
2023-08-11,56
2023-08-12,61
2023-08-13,60
2023-08-14,51
2023-08-15,49
2023-08-16,50
2023-08-17,49
2023-08-18,52
2023-08-19,61
2023-08-20,61
2023-08-21,50
2023-08-22,50
2023-08-23,51
2023-08-24,51
2023-08-25,54
2023-08-26,72
2023-08-27,57
2023-08-28,49
2023-08-29,51
2023-08-30,52
2023-08-31,55
2023-09-01,60
2023-09-02,84
2023-09-03,68
2023-09-04,56
2023-09-05,54
2023-09-06,54
2023-09-07,60
2023-09-08,65
2023-09-09,89
2023-09-10,100
2023-09-11,61
2023-09-12,57
2023-09-13,52
2023-09-14,54
2023-09-15,58
2023-09-16,81
2023-09-17,94
2023-09-18,56
2023-09-19,52
2023-09-20,52
2023-09-21,54
2023-09-22,57
2023-09-23,84
2023-09-24,91
2023-09-25,56
2023-09-26,52
2023-09-27,49
2023-09-28,53
2023-09-29,55
2023-09-30,82
2023-10-01,84
2023-10-02,55
2023-10-03,50
2023-10-04,50
2023-10-05,47
2023-10-06,55
2023-10-07,79
2023-10-08,79
2023-10-09,58
2023-10-10,53
2023-10-11,52
2023-10-12,52
2023-10-13,54
2023-10-14,78
2023-10-15,78
2023-10-16,55
2023-10-17,51
2023-10-18,51
2023-10-19,52
2023-10-20,56
2023-10-21,79
2023-10-22,78
2023-10-23,56
2023-10-24,55
2023-10-25,55
2023-10-26,51
2023-10-27,54
2023-10-28,79
2023-10-29,75
2023-10-30,54
2023-10-31,52
2023-11-01,52
2023-11-02,57
2023-11-03,56
2023-11-04,78
2023-11-05,76
2023-11-06,56
2023-11-07,54
2023-11-08,48
2023-11-09,50
2023-11-10,55
2023-11-11,74
2023-11-12,74
2023-11-13,55
2023-11-14,49
2023-11-15,49
2023-11-16,50
2023-11-17,53
2023-11-18,73
2023-11-19,75
2023-11-20,53
2023-11-21,55
2023-11-22,52
2023-11-23,61
2023-11-24,73
2023-11-25,81
2023-11-26,76
2023-11-27,55
2023-11-28,52
2023-11-29,52
2023-11-30,51
2023-12-01,56
2023-12-02,70
2023-12-03,76
2023-12-04,58
2023-12-05,54
2023-12-06,50
2023-12-07,49
2023-12-08,54
2023-12-09,65
2023-12-10,69
2023-12-11,56
2023-12-12,53
2023-12-13,51
2023-12-14,51
2023-12-15,56
2023-12-16,66
2023-12-17,77
2023-12-18,52
2023-12-19,52
2023-12-20,54
2023-12-21,53
2023-12-22,55
2023-12-23,65
2023-12-24,66
2023-12-25,56
2023-12-26,57
2023-12-27,50
2023-12-28,51
2023-12-29,54
2023-12-30,61
2023-12-31,68
2024-01-01,61
2024-01-02,57
2024-01-03,50
2024-01-04,48
2024-01-05,48
2024-01-06,62
2024-01-07,68
2024-01-08,56
2024-01-09,55
2024-01-10,50
2024-01-11,51
2024-01-12,50
2024-01-13,66
2024-01-14,80
2024-01-15,61
2024-01-16,52
2024-01-17,50
2024-01-18,50
2024-01-19,57
2024-01-20,77
