Time,staples
2025-04-15,70
2025-04-16,69
2025-04-17,69
2025-04-18,69
2025-04-19,60
2025-04-20,60
2025-04-21,73
2025-04-22,70
2025-04-23,69
2025-04-24,66
2025-04-25,65
2025-04-26,62
2025-04-27,71
2025-04-28,70
2025-04-29,71
2025-04-30,65
2025-05-01,77
2025-05-02,71
2025-05-03,65
2025-05-04,71
2025-05-05,68
2025-05-06,70
2025-05-07,70
2025-05-08,68
2025-05-09,70
2025-05-10,65
2025-05-11,63
2025-05-12,71
2025-05-13,71
2025-05-14,68
2025-05-15,67
2025-05-16,69
2025-05-17,63
2025-05-18,66
2025-05-19,70
2025-05-20,72
2025-05-21,67
2025-05-22,79
2025-05-23,64
2025-05-24,62
2025-05-25,65
2025-05-26,89
2025-05-27,75
2025-05-28,74
2025-05-29,71
2025-05-30,73
2025-05-31,69
2025-06-01,74
2025-06-02,76
2025-06-03,79
2025-06-04,79
2025-06-05,77
2025-06-06,74
2025-06-07,70
2025-06-08,71
2025-06-09,76
2025-06-10,73
2025-06-11,79
2025-06-12,77
2025-06-13,75
2025-06-14,68
2025-06-15,63
2025-06-16,69
2025-06-17,70
2025-06-18,72
2025-06-19,72
2025-06-20,70
2025-06-21,60
2025-06-22,60
2025-06-23,67
2025-06-24,72
2025-06-25,71
2025-06-26,74
2025-06-27,81
2025-06-28,74
2025-06-29,69
2025-06-30,67
2025-07-01,72
2025-07-02,79
2025-07-03,78
2025-07-04,67
2025-07-05,61
2025-07-06,71
2025-07-07,79
2025-07-08,82
2025-07-09,71
2025-07-10,80
2025-07-11,75
2025-07-12,77
2025-07-13,70
2025-07-14,81
2025-07-15,81
2025-07-16,79
2025-07-17,82
2025-07-18,80
2025-07-19,70
2025-07-20,77
2025-07-21,84
2025-07-22,81
2025-07-23,81
2025-07-24,77
2025-07-25,77
2025-07-26,71
2025-07-27,76
2025-07-28,100
2025-07-29,83
2025-07-30,82
2025-07-31,78
2025-08-01,78
2025-08-02,81
2025-08-03,83
2025-08-04,82
2025-08-05,86
2025-08-06,91
2025-08-07,85
2025-08-08,78
2025-08-09,77
2025-08-10,87
2025-08-11,81
2025-08-12,90
2025-08-13,91
2025-08-14,87
2025-08-15,86
2025-08-16,77
2025-08-17,87
2025-08-18,87
2025-08-19,92
2025-08-20,86
2025-08-21,79
2025-08-22,75
2025-08-23,79
2025-08-24,86
2025-08-25,87
2025-08-26,82
2025-08-27,85
2025-08-28,88
2025-08-29,79
2025-08-30,72
2025-08-31,96
2025-09-01,93
2025-09-02,85
2025-09-03,91
2025-09-04,80
2025-09-05,78
2025-09-06,73
2025-09-07,75
2025-09-08,81
2025-09-09,86
2025-09-10,73
2025-09-11,68
2025-09-12,75
2025-09-13,65
2025-09-14,65
2025-09-15,70
2025-09-16,73
2025-09-17,72
2025-09-18,72
2025-09-19,67
2025-09-20,64
2025-09-21,62
2025-09-22,70
2025-09-23,72
2025-09-24,71
2025-09-25,72
2025-09-26,68
2025-09-27,62
2025-09-28,62
2025-09-29,72
2025-09-30,78
2025-10-01,75
2025-10-02,70
2025-10-03,71
2025-10-04,65
2025-10-05,69
2025-10-06,75
2025-10-07,70
2025-10-08,76
2025-10-09,73
2025-10-10,70
2025-10-11,64
2025-10-12,66
2025-10-13,71
2025-10-14,74
2025-10-15,73
2025-10-16,72
2025-10-17,75
2025-10-18,65
2025-10-19,62
2025-10-20,73
2025-10-21,73
2025-10-22,73
2025-10-23,68
2025-10-24,71
2025-10-25,64
2025-10-26,63
2025-10-27,66
2025-10-28,68
2025-10-29,68
2025-10-30,67
2025-10-31,69
2025-11-01,63
2025-11-02,69
2025-11-03,72
2025-11-04,71
2025-11-05,76
2025-11-06,73
2025-11-07,73
2025-11-08,70
2025-11-09,74
2025-11-10,79
2025-11-11,82
2025-11-12,76
2025-11-13,77
2025-11-14,77
2025-11-15,70
2025-11-16,73
2025-11-17,78
2025-11-18,70
2025-11-19,81
2025-11-20,87
2025-11-21,88
2025-11-22,87
2025-11-23,76
2025-11-24,80
2025-11-25,77
2025-11-26,79
2025-11-27,53
2025-11-28,80
2025-11-29,80
2025-11-30,88
2025-12-01,93
2025-12-02,100
2025-12-03,86
2025-12-04,91
2025-12-05,82
2025-12-06,86
2025-12-07,83
2025-12-08,85
2025-12-09,86
2025-12-10,88
2025-12-11,80
2025-12-12,81
2025-12-13,83
2025-12-14,76
2025-12-15,82
2025-12-16,81
2025-12-17,76
2025-12-18,81
2025-12-19,78
2025-12-20,82
2025-12-21,86
2025-12-22,82
2025-12-23,76
2025-12-24,88
2025-12-25,34
2025-12-26,68
2025-12-27,64
2025-12-28,64
2025-12-29,74
2025-12-30,81
2025-12-31,77
2026-01-01,70
2026-01-02,73
2026-01-03,73
2026-01-04,79
2026-01-05,79
2026-01-06,82
2026-01-07,73
2026-01-08,74
2026-01-09,69
