Time,stock_market
2022-01-01,11.0
2022-01-02,10.0
2022-01-03,21.0
2022-01-04,25.0
2022-01-05,27.0
2022-01-06,24.0
2022-01-07,21.0
2022-01-08,10.0
2022-01-09,8.0
2022-01-10,23.0
2022-01-11,22.0
2022-01-12,20.0
2022-01-13,25.0
2022-01-14,20.0
2022-01-15,10.0
2022-01-16,11.0
2022-01-17,32.0
2022-01-18,22.0
2022-01-19,26.0
2022-01-20,29.0
2022-01-21,45.0
2022-01-22,24.0
2022-01-23,15.0
2022-01-24,85.0
2022-01-25,44.0
2022-01-26,36.0
2022-01-27,36.0
2022-01-28,32.0
2022-01-29,13.0
2022-01-30,10.0
2022-01-31,24.0
2022-02-01,24.0
2022-02-02,23.0
2022-02-03,26.0
2022-02-04,26.0
2022-02-05,11.0
2022-02-06,9.0
2022-02-07,22.0
2022-02-08,21.0
2022-02-09,20.0
2022-02-10,22.0
2022-02-11,27.0
2022-02-12,13.0
2022-02-13,10.0
2022-02-14,25.0
2022-02-15,24.0
2022-02-16,22.0
2022-02-17,27.0
2022-02-18,32.0
2022-02-19,13.0
2022-02-20,14.0
2022-02-21,41.0
2022-02-22,43.0
2022-02-23,35.0
2022-02-24,100.0
2022-02-25,53.0
2022-02-26,19.0
2022-02-27,16.0
2022-02-28,51.0
2022-03-01,37.0
2022-03-02,35.0
2022-03-03,31.0
2022-03-04,34.0
2022-03-05,14.0
2022-03-06,12.0
2022-03-07,42.0
2022-03-08,44.0
2022-03-09,37.0
2022-03-10,34.0
2022-03-11,30.0
2022-03-12,13.0
2022-03-13,12.0
2022-03-14,31.0
2022-03-15,29.0
2022-03-16,30.0
2022-03-17,28.0
2022-03-18,25.0
2022-03-19,10.0
2022-03-20,10.0
2022-03-21,27.0
2022-03-22,22.0
2022-03-23,22.0
2022-03-24,24.0
2022-03-25,21.0
2022-03-26,9.0
2022-03-27,9.0
2022-03-28,22.0
2022-03-29,24.0
2022-03-30,23.0
2022-03-31,24.0
2022-04-01,23.0
2022-04-02,9.0
2022-04-03,8.0
2022-04-04,23.0
2022-04-05,24.0
2022-04-06,26.0
2022-04-07,22.0
2022-04-08,19.0
2022-04-09,9.0
2022-04-10,9.0
2022-04-11,25.0
2022-04-12,23.0
2022-04-13,22.0
2022-04-14,29.0
2022-04-15,42.0
2022-04-16,10.0
2022-04-17,9.0
2022-04-18,23.0
2022-04-19,22.0
2022-04-20,22.0
2022-04-21,26.0
2022-04-22,29.0
2022-04-23,15.0
2022-04-24,11.0
2022-04-25,30.0
2022-04-26,37.0
2022-04-27,32.0
2022-04-28,27.0
2022-04-29,33.0
2022-04-30,17.0
2022-05-01,12.0
2022-05-02,31.0
2022-05-03,27.0
2022-05-04,29.0
2022-05-05,47.0
2022-05-06,48.0
2022-05-07,15.0
2022-05-08,11.0
2022-05-09,52.0
2022-05-10,49.0
2022-05-11,46.0
2022-05-12,48.0
2022-05-13,36.0
2022-05-14,13.0
2022-05-15,10.0
2022-05-16,28.0
2022-05-17,28.0
2022-05-18,45.0
2022-05-19,45.0
2022-05-20,41.0
2022-05-21,14.0
2022-05-22,12.0
2022-05-23,33.0
2022-05-24,33.0
2022-05-25,29.0
2022-05-26,25.0
2022-05-27,26.0
2022-05-28,10.0
2022-05-29,9.0
2022-05-30,15.0
2022-05-31,24.0
2022-06-01,24.0
2022-06-02,21.0
2022-06-03,23.0
2022-06-04,9.0
2022-06-05,8.0
2022-06-06,22.0
2022-06-07,22.0
2022-06-08,20.0
2022-06-09,21.0
2022-06-10,33.0
2022-06-11,13.0
2022-06-12,10.0
2022-06-13,61.0
2022-06-14,56.0
2022-06-15,48.0
2022-06-16,53.0
2022-06-17,43.0
2022-06-18,18.0
2022-06-19,16.0
2022-06-20,55.0
2022-06-21,31.0
2022-06-22,30.0
2022-06-23,25.0
2022-06-24,25.0
2022-06-25,11.0
2022-06-26,12.0
2022-06-27,23.0
2022-06-28,22.0
2022-06-29,21.0
2022-06-30,24.0
2022-07-01,22.0
2022-07-02,9.0
2022-07-03,7.0
2022-07-04,11.0
2022-07-05,22.0
2022-07-06,20.0
2022-07-07,18.0
2022-07-08,19.0
2022-07-09,8.0
2022-07-10,7.0
2022-07-11,20.0
2022-07-12,18.0
2022-07-13,21.0
2022-07-14,19.0
2022-07-15,20.0
2022-07-16,9.0
2022-07-17,7.0
2022-07-18,20.0
2022-07-19,22.0
2022-07-20,20.0
2022-07-21,18.0
2022-07-22,18.0
2022-07-23,8.0
2022-07-24,7.0
2022-07-25,20.0
2022-07-26,20.0
2022-07-27,22.0
2022-07-28,24.0
2022-07-29,20.0
2022-07-30,9.0
2022-07-31,7.0
2022-08-01,18.0
2022-08-02,19.0
2022-08-03,19.0
2022-08-04,21.0
2022-08-05,19.0
2022-08-06,8.0
2022-08-07,7.0
2022-08-08,19.0
2022-08-09,18.0
2022-08-10,20.0
2022-08-11,19.0
2022-08-12,17.0
2022-08-13,8.0
2022-08-14,7.0
2022-08-15,19.0
2022-08-16,18.0
2022-08-17,19.0
2022-08-18,17.0
2022-08-19,19.0
2022-08-20,7.0
2022-08-21,7.0
2022-08-22,20.0
2022-08-23,20.0
2022-08-24,17.0
2022-08-25,17.0
2022-08-26,23.0
2022-08-27,12.0
2022-08-28,8.0
2022-08-29,21.976450315910398
2022-08-30,24.096496266513498
2022-08-31,18.908385985066055
2022-09-01,21.252441125789776
2022-09-02,18.908385985066055
2022-09-03,8.256174612291787
2022-09-04,6.860137851809305
2022-09-05,12.772257323377369
2022-09-06,19.132395175186673
2022-09-07,18.184376794945432
2022-09-08,18.184376794945432
2022-09-09,17.236358414704192
2022-09-10,7.084147041929925
2022-09-11,6.1361286616886845
2022-09-12,16.78834003446295
2022-09-13,38.764790350373346
2022-09-14,37.81677197013211
2022-09-15,25.99253302699598
2022-09-16,24.096496266513498
2022-09-17,10.152211372774268
2022-09-18,7.808156232050545
2022-09-19,21.028431935669154
2022-09-20,24.096496266513498
2022-09-21,30.73262492820218
2022-09-22,28.112578977599078
2022-09-23,36.868753589890865
2022-09-24,13.94428489373923
2022-09-25,9.928202182653646
2022-09-26,31.90465249856404
2022-09-27,30.00861573808156
2022-09-28,27.32912119471568
2022-09-29,29.12119471568064
2022-09-30,25.537047673750717
2022-10-01,11.648477886272257
2022-10-02,9.856404365307293
2022-10-03,26.88110281447444
2022-10-04,30.465249856404363
2022-10-05,25.985066053991957
2022-10-06,22.848937392303274
2022-10-07,29.12119471568064
2022-10-08,11.648477886272257
2022-10-09,13.88856978747846
2022-10-10,35.39345203905801
2022-10-11,25.537047673750717
2022-10-12,23.296955772544514
2022-10-13,30.465249856404363
2022-10-14,25.985066053991957
2022-10-15,9.856404365307293
2022-10-16,8.064330844342331
2022-10-17,22.400919012062033
2022-10-18,23.296955772544514
2022-10-19,22.400919012062033
2022-10-20,20.608845491097068
2022-10-21,19.264790350373346
2022-10-22,8.064330844342331
2022-10-23,7.16829408385985
2022-10-24,23.296955772544514
2022-10-25,21.952900631820793
2022-10-26,21.952900631820793
2022-10-27,22.848937392303274
2022-10-28,23.296955772544514
2022-10-29,9.408385985066053
2022-10-30,7.616312464101091
2022-10-31,20.608845491097068
2022-11-01,21.504882251579552
2022-11-02,25.985066053991957
2022-11-03,22.848937392303274
2022-11-04,20.160827110855827
2022-11-05,8.064330844342331
2022-11-06,7.16829408385985
2022-11-07,21.952900631820793
2022-11-08,21.952900631820793
2022-11-09,25.537047673750717
2022-11-10,38.977599080987936
2022-11-11,40.7696726019529
2022-11-12,11.200459506031017
2022-11-13,8.512349224583572
2022-11-14,22.400919012062033
2022-11-15,21.056863871338308
2022-11-16,20.160827110855827
2022-11-17,21.056863871338308
2022-11-18,18.816771970132105
2022-11-19,8.064330844342331
2022-11-20,6.272257323377369
2022-11-21,18.368753589890865
2022-11-22,19.264790350373346
2022-11-23,23.296955772544514
2022-11-24,13.88856978747846
2022-11-25,29.12119471568064
2022-11-26,6.72027570361861
2022-11-27,6.272257323377369
2022-11-28,16.128661688684662
2022-11-29,18.368753589890865
2022-11-30,18.816771970132105
2022-12-01,20.608845491097068
2022-12-02,19.264790350373346
2022-12-03,7.616312464101091
2022-12-04,7.16829408385985
2022-12-05,18.368753589890865
2022-12-06,19.264790350373346
2022-12-07,18.816771970132105
2022-12-08,17.024698449167143
2022-12-09,16.128661688684662
2022-12-10,8.064330844342331
2022-12-11,6.272257323377369
2022-12-12,17.024698449167143
2022-12-13,20.608845491097068
2022-12-14,20.608845491097068
