Time,subway
2022-01-01,20
2022-01-02,20
2022-01-03,17
2022-01-04,20
2022-01-05,18
2022-01-06,15
2022-01-07,18
2022-01-08,22
2022-01-09,20
2022-01-10,19
2022-01-11,19
2022-01-12,18
2022-01-13,15
2022-01-14,16
2022-01-15,19
2022-01-16,19
2022-01-17,17
2022-01-18,16
2022-01-19,17
2022-01-20,17
2022-01-21,18
2022-01-22,17
2022-01-23,17
2022-01-24,20
2022-01-25,16
2022-01-26,15
2022-01-27,16
2022-01-28,18
2022-01-29,18
2022-01-30,17
2022-01-31,16
2022-02-01,17
2022-02-02,16
2022-02-03,17
2022-02-04,17
2022-02-05,18
2022-02-06,17
2022-02-07,17
2022-02-08,17
2022-02-09,18
2022-02-10,16
2022-02-11,19
2022-02-12,19
2022-02-13,18
2022-02-14,14
2022-02-15,17
2022-02-16,18
2022-02-17,20
2022-02-18,19
2022-02-19,20
2022-02-20,20
2022-02-21,20
2022-02-22,17
2022-02-23,18
2022-02-24,18
2022-02-25,20
2022-02-26,18
2022-02-27,19
2022-02-28,20
2022-03-01,21
2022-03-02,21
2022-03-03,20
2022-03-04,22
2022-03-05,22
2022-03-06,21
2022-03-07,20
2022-03-08,19
2022-03-09,19
2022-03-10,20
2022-03-11,20
2022-03-12,19
2022-03-13,20
2022-03-14,19
2022-03-15,19
2022-03-16,20
2022-03-17,21
2022-03-18,20
2022-03-19,20
2022-03-20,21
2022-03-21,18
2022-03-22,18
2022-03-23,20
2022-03-24,19
2022-03-25,21
2022-03-26,20
2022-03-27,20
2022-03-28,18
2022-03-29,19
2022-03-30,20
2022-03-31,21
2022-04-01,22
2022-04-02,21
2022-04-03,21
2022-04-04,20
2022-04-05,19
2022-04-06,20
2022-04-07,19
2022-04-08,21
2022-04-09,21
2022-04-10,20
2022-04-11,20
2022-04-12,100
2022-04-13,69
2022-04-14,35
2022-04-15,26
2022-04-16,23
2022-04-17,23
2022-04-18,20
2022-04-19,20
2022-04-20,20
2022-04-21,22
2022-04-22,22
2022-04-23,21
2022-04-24,21
2022-04-25,20
2022-04-26,19
2022-04-27,21
2022-04-28,22
2022-04-29,22
2022-04-30,21
2022-05-01,21
2022-05-02,20
2022-05-03,20
2022-05-04,21
2022-05-05,21
2022-05-06,22
2022-05-07,21
2022-05-08,20
2022-05-09,21
2022-05-10,25
2022-05-11,25
2022-05-12,26
2022-05-13,26
2022-05-14,26
2022-05-15,28
2022-05-16,29
2022-05-17,30
2022-05-18,31
2022-05-19,30
2022-05-20,31
2022-05-21,27
2022-05-22,28
2022-05-23,37
2022-05-24,35
2022-05-25,35
2022-05-26,35
2022-05-27,34
2022-05-28,30
2022-05-29,28
2022-05-30,27
2022-05-31,30
2022-06-01,31
2022-06-02,32
2022-06-03,32
2022-06-04,28
2022-06-05,26
2022-06-06,27
2022-06-07,29
2022-06-08,27
2022-06-09,28
2022-06-10,28
2022-06-11,24
2022-06-12,25
2022-06-13,26
2022-06-14,27
2022-06-15,26
2022-06-16,26
2022-06-17,25
2022-06-18,24
2022-06-19,21
2022-06-20,22
2022-06-21,23
2022-06-22,24
2022-06-23,24
2022-06-24,23
2022-06-25,24
2022-06-26,25
2022-06-27,26
2022-06-28,28
2022-06-29,26
2022-06-30,25
2022-07-01,25
2022-07-02,23
2022-07-03,24
2022-07-04,26
2022-07-05,25
2022-07-06,24
2022-07-07,25
2022-07-08,25
2022-07-09,24
2022-07-10,25
2022-07-11,25
2022-07-12,49
2022-07-13,28
2022-07-14,25
2022-07-15,25
2022-07-16,24
2022-07-17,25
2022-07-18,23
2022-07-19,24
2022-07-20,24
2022-07-21,24
2022-07-22,23
2022-07-23,24
2022-07-24,24
2022-07-25,22
2022-07-26,25
2022-07-27,25
2022-07-28,26
2022-07-29,24
2022-07-30,24
2022-07-31,23
2022-08-01,22
2022-08-02,21
2022-08-03,21
2022-08-04,21
2022-08-05,22
2022-08-06,22
2022-08-07,22
2022-08-08,20
2022-08-09,21
2022-08-10,20
2022-08-11,22
2022-08-12,22
2022-08-13,22
2022-08-14,22
2022-08-15,22
2022-08-16,21
2022-08-17,20
2022-08-18,22
2022-08-19,22
2022-08-20,21
2022-08-21,21
2022-08-22,20
2022-08-23,21
2022-08-24,21
2022-08-25,20
2022-08-26,22
2022-08-27,23
2022-08-28,21
2022-08-29,20
2022-08-30,23
2022-08-31,22
2022-09-01,24
2022-09-02,25
2022-09-03,24
2022-09-04,22
2022-09-05,23
2022-09-06,19
2022-09-07,20
2022-09-08,20
2022-09-09,22
2022-09-10,21
2022-09-11,20
2022-09-12,19
2022-09-13,20
2022-09-14,21
2022-09-15,22
2022-09-16,21
2022-09-17,23
2022-09-18,19
2022-09-19,20
2022-09-20,21
2022-09-21,21
2022-09-22,20
2022-09-23,22
2022-09-24,21
2022-09-25,19
2022-09-26,18
2022-09-27,20
