Time,the last of us
2022-01-01,21
2022-01-02,23
2022-01-03,21
2022-01-04,22
2022-01-05,22
2022-01-06,19
2022-01-07,20
2022-01-08,24
2022-01-09,22
2022-01-10,18
2022-01-11,20
2022-01-12,20
2022-01-13,23
2022-01-14,18
2022-01-15,27
2022-01-16,21
2022-01-17,17
2022-01-18,20
2022-01-19,19
2022-01-20,18
2022-01-21,16
2022-01-22,20
2022-01-23,22
2022-01-24,23
2022-01-25,16
2022-01-26,17
2022-01-27,17
2022-01-28,19
2022-01-29,21
2022-01-30,21
2022-01-31,19
2022-02-01,19
2022-02-02,18
2022-02-03,17
2022-02-04,19
2022-02-05,21
2022-02-06,20
2022-02-07,21
2022-02-08,19
2022-02-09,17
2022-02-10,14
2022-02-11,19
2022-02-12,21
2022-02-13,20
2022-02-14,19
2022-02-15,19
2022-02-16,18
2022-02-17,20
2022-02-18,20
2022-02-19,24
2022-02-20,20
2022-02-21,19
2022-02-22,20
2022-02-23,19
2022-02-24,21
2022-02-25,17
2022-02-26,18
2022-02-27,19
2022-02-28,18
2022-03-01,16
2022-03-02,14
2022-03-03,17
2022-03-04,18
2022-03-05,18
2022-03-06,20
2022-03-07,20
2022-03-08,17
2022-03-09,18
2022-03-10,18
2022-03-11,16
2022-03-12,16
2022-03-13,20
2022-03-14,19
2022-03-15,17
2022-03-16,16
2022-03-17,19
2022-03-18,14
2022-03-19,15
2022-03-20,18
2022-03-21,16
2022-03-22,16
2022-03-23,19
2022-03-24,20
2022-03-25,19
2022-03-26,18
2022-03-27,18
2022-03-28,18
2022-03-29,19
2022-03-30,19
2022-03-31,17
2022-04-01,18
2022-04-02,16
2022-04-03,20
2022-04-04,20
2022-04-05,19
2022-04-06,19
2022-04-07,19
2022-04-08,19
2022-04-09,16
2022-04-10,18
2022-04-11,20
2022-04-12,18
2022-04-13,21
2022-04-14,19
2022-04-15,19
2022-04-16,19
2022-04-17,20
2022-04-18,21
2022-04-19,20
2022-04-20,22
2022-04-21,21
2022-04-22,19
2022-04-23,20
2022-04-24,19
2022-04-25,22
2022-04-26,22
2022-04-27,20
2022-04-28,20
2022-04-29,18
2022-04-30,18
2022-05-01,19
2022-05-02,19
2022-05-03,18
2022-05-04,20
2022-05-05,20
2022-05-06,20
2022-05-07,19
2022-05-08,20
2022-05-09,21
2022-05-10,21
2022-05-11,24
2022-05-12,22
2022-05-13,20
2022-05-14,18
2022-05-15,20
2022-05-16,19
2022-05-17,22
2022-05-18,28
2022-05-19,26
2022-05-20,23
2022-05-21,21
2022-05-22,23
2022-05-23,23
2022-05-24,22
2022-05-25,26
2022-05-26,23
2022-05-27,21
2022-05-28,17
2022-05-29,21
2022-05-30,23
2022-05-31,17
2022-06-01,17
2022-06-02,20
2022-06-03,18
2022-06-04,18
2022-06-05,18
2022-06-06,19
2022-06-07,18
2022-06-08,19
2022-06-09,63
2022-06-10,62
2022-06-11,38
2022-06-12,33
2022-06-13,26
2022-06-14,25
2022-06-15,29
2022-06-16,23
2022-06-17,25
2022-06-18,24
2022-06-19,26
2022-06-20,22
2022-06-21,21
2022-06-22,18
2022-06-23,22
2022-06-24,22
2022-06-25,20
2022-06-26,20
2022-06-27,19
2022-06-28,20
2022-06-29,18
2022-06-30,17
2022-07-01,16
2022-07-02,19
2022-07-03,19
2022-07-04,20
2022-07-05,18
2022-07-06,17
2022-07-07,18
2022-07-08,15
2022-07-09,17
2022-07-10,19
2022-07-11,19
2022-07-12,19
2022-07-13,20
2022-07-14,18
2022-07-15,18
2022-07-16,21
2022-07-17,21
2022-07-18,20
2022-07-19,17
2022-07-20,19
2022-07-21,20
2022-07-22,25
2022-07-23,22
2022-07-24,23
2022-07-25,19
2022-07-26,19
2022-07-27,17
2022-07-28,17
2022-07-29,17
2022-07-30,18
2022-07-31,20
2022-08-01,20
2022-08-02,17
2022-08-03,16
2022-08-04,17
2022-08-05,16
2022-08-06,18
2022-08-07,21
2022-08-08,18
2022-08-09,18
2022-08-10,17
2022-08-11,16
2022-08-12,18
2022-08-13,19
2022-08-14,20
2022-08-15,16
2022-08-16,17
2022-08-17,19
2022-08-18,17
2022-08-19,17
2022-08-20,19
2022-08-21,25
2022-08-22,85
2022-08-23,54
2022-08-24,31
2022-08-25,38
2022-08-26,31
2022-08-27,34
2022-08-28,31
2022-08-29,27
2022-08-30,28
2022-08-31,46
2022-09-01,47
2022-09-02,62
2022-09-03,65
2022-09-04,64
2022-09-05,60
2022-09-06,44
2022-09-07,37
2022-09-08,34
2022-09-09,32
2022-09-10,37
2022-09-11,39
2022-09-12,35
2022-09-13,28
2022-09-14,26
2022-09-15,26
2022-09-16,26
2022-09-17,28
2022-09-18,30
2022-09-19,24
2022-09-20,23
2022-09-21,27
2022-09-22,22
2022-09-23,21
2022-09-24,25
2022-09-25,28
2022-09-26,100
2022-09-27,88
