Time,wordle game
2022-08-29,93
2022-08-30,94
2022-08-31,95
2022-09-01,95
2022-09-02,99
2022-09-03,98
2022-09-04,100
2022-09-05,97
2022-09-06,94
2022-09-07,88
2022-09-08,88
2022-09-09,91
2022-09-10,93
2022-09-11,96
2022-09-12,94
2022-09-13,93
2022-09-14,96
2022-09-15,92
2022-09-16,97
2022-09-17,92
2022-09-18,92
2022-09-19,86
2022-09-20,88
2022-09-21,82
2022-09-22,88
2022-09-23,90
2022-09-24,87
2022-09-25,96
2022-09-26,80
2022-09-27,81
2022-09-28,84
2022-09-29,84
2022-09-30,91
2022-10-01,87
2022-10-02,87
2022-10-03,78
2022-10-04,81
2022-10-05,82
2022-10-06,86
2022-10-07,86
2022-10-08,87
2022-10-09,93
2022-10-10,84
2022-10-11,85
2022-10-12,88
2022-10-13,84
2022-10-14,83
2022-10-15,89
2022-10-16,90
2022-10-17,82
2022-10-18,86
2022-10-19,85
2022-10-20,84
2022-10-21,84
2022-10-22,88
2022-10-23,91
2022-10-24,83
2022-10-25,78
2022-10-26,73
2022-10-27,77
2022-10-28,78
2022-10-29,91
2022-10-30,90
2022-10-31,83
2022-11-01,81
2022-11-02,81
2022-11-03,78
2022-11-04,81
2022-11-05,81
2022-11-06,82
2022-11-07,74
2022-11-08,72
2022-11-09,70
2022-11-10,73
2022-11-11,75
2022-11-12,77
2022-11-13,93
2022-11-14,80
2022-11-15,74
2022-11-16,76
2022-11-17,76
2022-11-18,85
2022-11-19,87
2022-11-20,81
2022-11-21,75
2022-11-22,79
2022-11-23,70
2022-11-24,77
2022-11-25,78
2022-11-26,79
2022-11-27,75
2022-11-28,67
2022-11-29,71
2022-11-30,69
2022-12-01,71
2022-12-02,70
2022-12-03,76
2022-12-04,71
2022-12-05,69
2022-12-06,72
2022-12-07,66
2022-12-08,72
2022-12-09,70
2022-12-10,76
2022-12-11,79
2022-12-12,71
2022-12-13,66
2022-12-14,78
2022-12-15,74
2022-12-16,72
2022-12-17,73
2022-12-18,77
2022-12-19,72
2022-12-20,75
2022-12-21,73
2022-12-22,76
2022-12-23,75
2022-12-24,78
2022-12-25,76
2022-12-26,85
2022-12-27,71
2022-12-28,81
2022-12-29,79
2022-12-30,72
2022-12-31,69
2023-01-01,76
2023-01-02,70
2023-01-03,67
2023-01-04,69
2023-01-05,65
2023-01-06,72
2023-01-07,71
2023-01-08,76
2023-01-09,70
2023-01-10,71
2023-01-11,72
2023-01-12,66
2023-01-13,65
2023-01-14,76
2023-01-15,70
2023-01-16,61
2023-01-17,63
2023-01-18,59
2023-01-19,69
2023-01-20,63
2023-01-21,68
2023-01-22,69
2023-01-23,67
2023-01-24,63
2023-01-25,64
2023-01-26,69
2023-01-27,63
2023-01-28,64
2023-01-29,71
2023-01-30,62
2023-01-31,71
2023-02-01,61
2023-02-02,63
2023-02-03,63
2023-02-04,65
2023-02-05,65
2023-02-06,65
2023-02-07,64
2023-02-08,65
2023-02-09,61
2023-02-10,64
2023-02-11,67
2023-02-12,66
2023-02-13,60
2023-02-14,66
2023-02-15,65
2023-02-16,64
2023-02-17,68
2023-02-18,68
2023-02-19,69
2023-02-20,66
2023-02-21,61
2023-02-22,64
2023-02-23,60
2023-02-24,67
2023-02-25,66
2023-02-26,68
2023-02-27,58
2023-02-28,60
2023-03-01,64
2023-03-02,63
2023-03-03,61
2023-03-04,60
2023-03-05,64
2023-03-06,55
2023-03-07,60
2023-03-08,62
2023-03-09,62
2023-03-10,62
2023-03-11,65
2023-03-12,61
2023-03-13,54
2023-03-14,58
2023-03-15,58
2023-03-16,60
2023-03-17,64
2023-03-18,65
2023-03-19,68
2023-03-20,61
2023-03-21,63
2023-03-22,62
2023-03-23,61
2023-03-24,65
2023-03-25,62
2023-03-26,63
2023-03-27,66
2023-03-28,63
2023-03-29,59
2023-03-30,58
2023-03-31,60
2023-04-01,58
2023-04-02,69
2023-04-03,62
2023-04-04,62
2023-04-05,62
2023-04-06,62
2023-04-07,63
2023-04-08,65
2023-04-09,66
2023-04-10,59
2023-04-11,65
2023-04-12,61
2023-04-13,62
2023-04-14,63
2023-04-15,65
2023-04-16,71
2023-04-17,63
2023-04-18,63
2023-04-19,61
2023-04-20,60
2023-04-21,63
2023-04-22,64
2023-04-23,65
2023-04-24,55
2023-04-25,61
2023-04-26,59
2023-04-27,60
2023-04-28,61
2023-04-29,61
2023-04-30,63
2023-05-01,61
2023-05-02,61
2023-05-03,60
2023-05-04,65
2023-05-05,63
2023-05-06,63
2023-05-07,65
2023-05-08,69
2023-05-09,63
2023-05-10,63
2023-05-11,62
2023-05-12,66
2023-05-13,61
2023-05-14,61
2023-05-15,60
2023-05-16,63
2023-05-17,62
2023-05-18,60
2023-05-19,63
2023-05-20,55
2023-05-21,63
2023-05-22,63
2023-05-23,62
2023-05-24,58
2023-05-25,57
