Time,value
2024-08-18,27
2024-08-19,38
2024-08-20,34
2024-08-21,33
2024-08-22,35
2024-08-23,32
2024-08-24,25
2024-08-25,22
2024-08-26,33
2024-08-27,34
2024-08-28,32
2024-08-29,38
2024-08-30,33
2024-08-31,30
2024-09-01,26
2024-09-02,25
2024-09-03,32
2024-09-04,36
2024-09-05,35
2024-09-06,35
2024-09-07,29
2024-09-08,24
2024-09-09,33
2024-09-10,39
2024-09-11,41
2024-09-12,39
2024-09-13,35
2024-09-14,29
2024-09-15,29
2024-09-16,37
2024-09-17,34
2024-09-18,39
2024-09-19,38
2024-09-20,38
2024-09-21,30
2024-09-22,29
2024-09-23,36
2024-09-24,40
2024-09-25,41
2024-09-26,38
2024-09-27,37
2024-09-28,27
2024-09-29,25
2024-09-30,32
2024-10-01,34
2024-10-02,32
2024-10-03,66
2024-10-04,44
2024-10-05,32
2024-10-06,29
2024-10-07,39
2024-10-08,39
2024-10-09,37
2024-10-10,38
2024-10-11,34
2024-10-12,33
2024-10-13,32
2024-10-14,38
2024-10-15,41
2024-10-16,37
2024-10-17,40
2024-10-18,38
2024-10-19,36
2024-10-20,34
2024-10-21,40
2024-10-22,41
2024-10-23,42
2024-10-24,41
2024-10-25,38
2024-10-26,28
2024-10-27,32
2024-10-28,35
2024-10-29,36
2024-10-30,42
2024-10-31,37
2024-11-01,35
2024-11-02,36
2024-11-03,29
2024-11-04,40
2024-11-05,40
2024-11-06,38
2024-11-07,43
2024-11-08,45
2024-11-09,30
2024-11-10,33
2024-11-11,47
2024-11-12,49
2024-11-13,61
2024-11-14,53
2024-11-15,44
2024-11-16,47
2024-11-17,38
2024-11-18,59
2024-11-19,57
2024-11-20,44
2024-11-21,39
2024-11-22,49
2024-11-23,34
2024-11-24,35
2024-11-25,43
2024-11-26,42
2024-11-27,42
2024-11-28,40
2024-11-29,39
2024-11-30,38
2024-12-01,46
2024-12-02,49
2024-12-03,46
2024-12-04,47
2024-12-05,40
2024-12-06,47
2024-12-07,37
2024-12-08,35
2024-12-09,39
2024-12-10,44
2024-12-11,43
2024-12-12,44
2024-12-13,39
2024-12-14,31
2024-12-15,27
2024-12-16,38
2024-12-17,37
2024-12-18,36
2024-12-19,36
2024-12-20,42
2024-12-21,40
2024-12-22,32
2024-12-23,34
2024-12-24,39
2024-12-25,32
2024-12-26,33
2024-12-27,40
2024-12-28,36
2024-12-29,32
2024-12-30,33
2024-12-31,32
2025-01-01,31
2025-01-02,33
2025-01-03,32
2025-01-04,27
2025-01-05,29
2025-01-06,35
2025-01-07,33
2025-01-08,35
2025-01-09,35
2025-01-10,36
2025-01-11,31
2025-01-12,29
2025-01-13,40
2025-01-14,39
2025-01-15,40
2025-01-16,39
2025-01-17,40
2025-01-18,37
2025-01-19,33
2025-01-20,33
2025-01-21,37
2025-01-22,42
2025-01-23,37
2025-01-24,38
2025-01-25,29
2025-01-26,33
2025-01-27,37
2025-01-28,40
2025-01-29,42
2025-01-30,40
2025-01-31,33
2025-02-01,29
2025-02-02,30
2025-02-03,39
2025-02-04,41
2025-02-05,42
2025-02-06,47
2025-02-07,44
2025-02-08,33
2025-02-09,36
2025-02-10,31
2025-02-11,36
2025-02-12,40
2025-02-13,34
2025-02-14,32
2025-02-15,36
2025-02-16,39
2025-02-17,40
2025-02-18,37
2025-02-19,44
2025-02-20,44
2025-02-21,49
2025-02-22,43
2025-02-23,41
2025-02-24,41
2025-02-25,40
2025-02-26,48
2025-02-27,45
2025-02-28,42
2025-03-01,35
2025-03-02,34
2025-03-03,54
2025-03-04,85
2025-03-05,78
2025-03-06,63
2025-03-07,56
2025-03-08,44
2025-03-09,44
2025-03-10,47
2025-03-11,59
2025-03-12,55
2025-03-13,51
2025-03-14,48
2025-03-15,35
2025-03-16,42
2025-03-17,48
2025-03-18,49
2025-03-19,47
2025-03-20,47
2025-03-21,48
2025-03-22,56
2025-03-23,54
2025-03-24,88
2025-03-25,95
2025-03-26,100
2025-03-27,85
2025-03-28,67
2025-03-29,53
2025-03-30,60
2025-03-31,58
2025-04-01,55
2025-04-02,49
2025-04-03,62
2025-04-04,68
2025-04-05,56
2025-04-06,50
2025-04-07,56
2025-04-08,55
2025-04-09,65
2025-04-10,58
2025-04-11,51
2025-04-12,46
2025-04-13,42
2025-04-14,44
2025-04-15,50
2025-04-16,54
2025-04-17,54
2025-04-18,44
2025-04-19,34
2025-04-20,39
2025-04-21,47
2025-04-22,44
2025-04-23,43
2025-04-24,44
2025-04-25,39
2025-04-26,35
2025-04-27,32
2025-04-28,36
2025-04-29,38
2025-04-30,46
2025-05-01,37
2025-05-02,36
2025-05-03,29
2025-05-04,31
2025-05-05,33
2025-05-06,39
2025-05-07,41
2025-05-08,37
2025-05-09,36
2025-05-10,36
2025-05-11,41
2025-05-12,33
2025-05-13,36
