Time,value
2023-04-26,6
2023-04-27,6
2023-04-28,7
2023-04-29,5
2023-04-30,8
2023-05-01,7
2023-05-02,6
2023-05-03,7
2023-05-04,6
2023-05-05,6
2023-05-06,6
2023-05-07,7
2023-05-08,5
2023-05-09,6
2023-05-10,7
2023-05-11,5
2023-05-12,5
2023-05-13,3
2023-05-14,7
2023-05-15,6
2023-05-16,6
2023-05-17,7
2023-05-18,4
2023-05-19,4
2023-05-20,7
2023-05-21,5
2023-05-22,6
2023-05-23,7
2023-05-24,7
2023-05-25,5
2023-05-26,5
2023-05-27,7
2023-05-28,6
2023-05-29,5
2023-05-30,5
2023-05-31,6
2023-06-01,6
2023-06-02,5
2023-06-03,5
2023-06-04,6
2023-06-05,5
2023-06-06,6
2023-06-07,6
2023-06-08,6
2023-06-09,5
2023-06-10,7
2023-06-11,4
2023-06-12,4
2023-06-13,6
2023-06-14,6
2023-06-15,5
2023-06-16,5
2023-06-17,5
2023-06-18,5
2023-06-19,5
2023-06-20,4
2023-06-21,5
2023-06-22,10
2023-06-23,7
2023-06-24,5
2023-06-25,5
2023-06-26,5
2023-06-27,5
2023-06-28,4
2023-06-29,6
2023-06-30,4
2023-07-01,6
2023-07-02,5
2023-07-03,6
2023-07-04,5
2023-07-05,7
2023-07-06,5
2023-07-07,6
2023-07-08,7
2023-07-09,6
2023-07-10,3
2023-07-11,4
2023-07-12,6
2023-07-13,6
2023-07-14,7
2023-07-15,5
2023-07-16,4
2023-07-17,7
2023-07-18,8
2023-07-19,5
2023-07-20,6
2023-07-21,6
2023-07-22,5
2023-07-23,6
2023-07-24,6
2023-07-25,5
2023-07-26,5
2023-07-27,7
2023-07-28,9
2023-07-29,6
2023-07-30,5
2023-07-31,4
2023-08-01,4
2023-08-02,5
2023-08-03,5
2023-08-04,4
2023-08-05,5
2023-08-06,6
2023-08-07,6
2023-08-08,4
2023-08-09,7
2023-08-10,5
2023-08-11,7
2023-08-12,6
2023-08-13,3
2023-08-14,7
2023-08-15,7
2023-08-16,5
2023-08-17,5
2023-08-18,6
2023-08-19,9
2023-08-20,7
2023-08-21,6
2023-08-22,4
2023-08-23,6
2023-08-24,6
2023-08-25,8
2023-08-26,5
2023-08-27,4
2023-08-28,5
2023-08-29,7
2023-08-30,5
2023-08-31,6
2023-09-01,7
2023-09-02,5
2023-09-03,5
2023-09-04,5
2023-09-05,6
2023-09-06,6
2023-09-07,5
2023-09-08,7
2023-09-09,5
2023-09-10,8
2023-09-11,5
2023-09-12,8
2023-09-13,7
2023-09-14,6
2023-09-15,7
2023-09-16,4
2023-09-17,7
2023-09-18,6
2023-09-19,10
2023-09-20,7
2023-09-21,7
2023-09-22,6
2023-09-23,5
2023-09-24,9
2023-09-25,8
2023-09-26,7
2023-09-27,6
2023-09-28,7
2023-09-29,7
2023-09-30,6
2023-10-01,8
2023-10-02,7
2023-10-03,7
2023-10-04,7
2023-10-05,6
2023-10-06,10
2023-10-07,7
2023-10-08,8
2023-10-09,8
2023-10-10,8
2023-10-11,7
2023-10-12,8
2023-10-13,7
2023-10-14,10
2023-10-15,8
2023-10-16,8
2023-10-17,11
2023-10-18,10
2023-10-19,12
2023-10-20,8
2023-10-21,9
2023-10-22,11
2023-10-23,8
2023-10-24,9
2023-10-25,10
2023-10-26,10
2023-10-27,10
2023-10-28,12
2023-10-29,12
2023-10-30,12
2023-10-31,13
2023-11-01,14
2023-11-02,12
2023-11-03,12
2023-11-04,12
2023-11-05,11
2023-11-06,11
2023-11-07,12
2023-11-08,11
2023-11-09,13
2023-11-10,13
2023-11-11,12
2023-11-12,14
2023-11-13,14
2023-11-14,17
2023-11-15,16
2023-11-16,15
2023-11-17,16
2023-11-18,18
2023-11-19,22
2023-11-20,19
2023-11-21,15
2023-11-22,19
2023-11-23,19
2023-11-24,25
2023-11-25,23
2023-11-26,27
2023-11-27,26
2023-11-28,32
2023-11-29,30
2023-11-30,26
2023-12-01,29
2023-12-02,32
2023-12-03,29
2023-12-04,33
2023-12-05,28
2023-12-06,32
2023-12-07,31
2023-12-08,30
2023-12-09,38
2023-12-10,39
2023-12-11,35
2023-12-12,31
2023-12-13,40
2023-12-14,37
2023-12-15,34
2023-12-16,34
2023-12-17,39
2023-12-18,36
2023-12-19,35
2023-12-20,39
2023-12-21,45
2023-12-22,51
2023-12-23,63
2023-12-24,79
2023-12-25,100
2023-12-26,37
2023-12-27,17
2023-12-28,15
2023-12-29,14
2023-12-30,15
2023-12-31,12
2024-01-01,9
2024-01-02,9
2024-01-03,9
2024-01-04,11
2024-01-05,10
2024-01-06,10
2024-01-07,10
2024-01-08,10
2024-01-09,14
2024-01-10,16
2024-01-11,22
2024-01-12,25
2024-01-13,27
2024-01-14,28
2024-01-15,27
2024-01-16,21
2024-01-17,21
2024-01-18,15
2024-01-19,15
