Time,sp500
2022-01-01,10.0
2022-01-02,9.0
2022-01-03,27.0
2022-01-04,33.0
2022-01-05,34.0
2022-01-06,29.0
2022-01-07,30.0
2022-01-08,11.0
2022-01-09,7.0
2022-01-10,29.0
2022-01-11,30.0
2022-01-12,27.0
2022-01-13,33.0
2022-01-14,24.0
2022-01-15,11.0
2022-01-16,6.0
2022-01-17,11.0
2022-01-18,29.0
2022-01-19,33.0
2022-01-20,36.0
2022-01-21,44.0
2022-01-22,22.0
2022-01-23,13.0
2022-01-24,100.0
2022-01-25,58.0
2022-01-26,49.0
2022-01-27,45.0
2022-01-28,49.0
2022-01-29,14.0
2022-01-30,11.0
2022-01-31,40.0
2022-02-01,36.0
2022-02-02,38.0
2022-02-03,38.0
2022-02-04,34.0
2022-02-05,13.0
2022-02-06,7.0
2022-02-07,30.0
2022-02-08,31.0
2022-02-09,29.0
2022-02-10,28.0
2022-02-11,38.0
2022-02-12,13.0
2022-02-13,8.0
2022-02-14,31.0
2022-02-15,33.0
2022-02-16,31.0
2022-02-17,35.0
2022-02-18,39.0
2022-02-19,13.0
2022-02-20,10.0
2022-02-21,21.0
2022-02-22,52.0
2022-02-23,50.0
2022-02-24,91.0
2022-02-25,44.0
2022-02-26,15.0
2022-02-27,11.0
2022-02-28,51.0
2022-03-01,39.0
2022-03-02,32.0
2022-03-03,35.0
2022-03-04,38.0
2022-03-05,12.0
2022-03-06,7.0
2022-03-07,43.0
2022-03-08,54.0
2022-03-09,42.0
2022-03-10,39.0
2022-03-11,34.0
2022-03-12,14.0
2022-03-13,10.0
2022-03-14,40.0
2022-03-15,37.0
2022-03-16,41.0
2022-03-17,32.0
2022-03-18,34.0
2022-03-19,10.0
2022-03-20,7.0
2022-03-21,34.0
2022-03-22,33.0
2022-03-23,29.0
2022-03-24,29.0
2022-03-25,28.0
2022-03-26,8.0
2022-03-27,8.0
2022-03-28,25.0
2022-03-29,30.0
2022-03-30,29.0
2022-03-31,27.0
2022-04-01,24.0
2022-04-02,8.0
2022-04-03,7.0
2022-04-04,25.0
2022-04-05,26.0
2022-04-06,28.0
2022-04-07,24.0
2022-04-08,26.0
2022-04-09,10.0
2022-04-10,7.0
2022-04-11,29.0
2022-04-12,31.0
2022-04-13,26.0
2022-04-14,26.0
2022-04-15,18.0
2022-04-16,7.0
2022-04-17,6.0
2022-04-18,29.0
2022-04-19,25.0
2022-04-20,27.0
2022-04-21,27.0
2022-04-22,33.0
2022-04-23,16.0
2022-04-24,9.0
2022-04-25,36.0
2022-04-26,39.0
2022-04-27,37.0
2022-04-28,31.0
2022-04-29,37.0
2022-04-30,18.0
2022-05-01,12.0
2022-05-02,43.0
2022-05-03,33.0
2022-05-04,42.0
2022-05-05,51.0
2022-05-06,54.0
2022-05-07,16.0
2022-05-08,11.0
2022-05-09,74.0
2022-05-10,65.0
2022-05-11,64.0
2022-05-12,62.0
2022-05-13,46.0
2022-05-14,16.0
2022-05-15,10.0
2022-05-16,45.0
2022-05-17,40.0
2022-05-18,59.0
2022-05-19,63.0
2022-05-20,64.0
2022-05-21,18.0
2022-05-22,11.0
2022-05-23,44.0
2022-05-24,47.0
2022-05-25,43.0
2022-05-26,39.0
2022-05-27,39.0
2022-05-28,12.0
2022-05-29,7.0
2022-05-30,14.0
2022-05-31,40.0
2022-06-01,39.0
2022-06-02,35.0
2022-06-03,35.0
2022-06-04,10.0
2022-06-05,7.0
2022-06-06,33.0
2022-06-07,35.0
2022-06-08,34.0
2022-06-09,34.0
2022-06-10,47.0
2022-06-11,14.0
2022-06-12,11.0
2022-06-13,83.0
2022-06-14,68.0
2022-06-15,65.0
2022-06-16,74.0
2022-06-17,59.0
2022-06-18,18.0
2022-06-19,13.0
2022-06-20,26.0
2022-06-21,45.0
2022-06-22,47.0
2022-06-23,44.0
2022-06-24,41.0
2022-06-25,13.0
2022-06-26,11.0
2022-06-27,40.0
2022-06-28,40.0
2022-06-29,42.0
2022-06-30,43.0
2022-07-01,41.0
2022-07-02,14.0
2022-07-03,7.0
2022-07-04,11.0
2022-07-05,43.0
2022-07-06,38.0
2022-07-07,37.0
2022-07-08,34.0
2022-07-09,11.0
2022-07-10,9.0
2022-07-11,39.0
2022-07-12,35.0
2022-07-13,42.0
2022-07-14,40.0
2022-07-15,35.0
2022-07-16,11.0
2022-07-17,9.0
2022-07-18,38.0
2022-07-19,42.0
2022-07-20,38.0
2022-07-21,36.0
2022-07-22,37.0
2022-07-23,10.0
2022-07-24,8.0
2022-07-25,34.0
2022-07-26,37.0
2022-07-27,45.0
2022-07-28,44.0
2022-07-29,44.0
2022-07-30,11.0
2022-07-31,10.0
2022-08-01,40.0
2022-08-02,40.0
2022-08-03,38.0
2022-08-04,38.0
2022-08-05,35.0
2022-08-06,10.0
2022-08-07,8.0
2022-08-08,34.0
2022-08-09,32.0
2022-08-10,38.0
2022-08-11,37.0
2022-08-12,36.0
2022-08-13,10.0
2022-08-14,7.0
2022-08-15,40.0
2022-08-16,37.0
2022-08-17,35.0
2022-08-18,34.0
2022-08-19,30.0
2022-08-20,9.0
2022-08-21,8.0
2022-08-22,31.0
2022-08-23,32.0
2022-08-24,31.0
2022-08-25,29.0
2022-08-26,41.0
2022-08-27,15.0
2022-08-28,9.0
2022-08-29,39.040856031128406
2022-08-30,39.040856031128406
2022-08-31,34.86964980544747
2022-09-01,37.92051139521956
2022-09-02,32.93913285158422
2022-09-03,11.083101723179544
2022-09-04,8.032240133407448
2022-09-05,10.272929405225124
2022-09-06,34.86964980544747
2022-09-07,36.80016675931073
2022-09-08,30.19844357976654
2022-09-09,27.95775430794886
2022-09-10,11.893274041133964
2022-09-11,9.962757087270706
2022-09-12,31.008615897720958
2022-09-13,56.22568093385214
2022-09-14,52.864647026125624
2022-09-15,40.16120066703724
2022-09-16,42.091717620900496
2022-09-17,12.203446359088382
2022-09-18,9.152584769316288
2022-09-19,35.98999444135631
2022-09-20,40.16120066703724
2022-09-21,53.98499166203446
2022-09-22,51.74430239021679
2022-09-23,62.017231795441916
2022-09-24,18.805169538632576
2022-09-25,9.962757087270706
2022-09-26,52.864647026125624
2022-09-27,52.054474708171206
2022-09-28,44.66481378543635
2022-09-29,51.488604780433576
2022-09-30,47.14619232907171
2022-10-01,16.128960533629794
2022-10-02,12.406892718176765
2022-10-03,48.38688160088938
2022-10-04,44.66481378543635
2022-10-05,41.563090605892164
2022-10-06,35.35964424680378
2022-10-07,45.285158421345194
2022-10-08,14.888271261812118
2022-10-09,10.54585881045025
2022-10-10,42.183435241801
2022-10-11,41.563090605892164
2022-10-12,41.563090605892164
2022-10-13,55.83101723179544
2022-10-14,42.183435241801
2022-10-15,13.647581989994443
2022-10-16,9.925514174541412
2022-10-17,40.322401334074485
2022-10-18,40.94274596998333
2022-10-19,38.46136742634797
2022-10-20,37.84102279043913
2022-10-21,35.97998888271262
2022-10-22,10.54585881045025
2022-10-23,8.684824902723737
2022-10-24,33.49861033907727
2022-10-25,37.84102279043913
2022-10-26,42.183435241801
2022-10-27,40.322401334074485
2022-10-28,37.2206781545303
2022-10-29,11.786548082267927
2022-10-30,7.444135630906059
2022-10-31,34.739299610894946
2022-11-01,36.600333518621454
2022-11-02,41.563090605892164
2022-11-03,39.08171206225681
2022-11-04,35.97998888271262
2022-11-05,9.305169538632574
2022-11-06,6.823790994997221
2022-11-07,34.1189549749861
2022-11-08,36.600333518621454
2022-11-09,32.87826570316843
2022-11-10,53.34963868816009
2022-11-11,45.285158421345194
2022-11-12,13.647581989994443
2022-11-13,8.684824902723737
2022-11-14,39.08171206225681
2022-11-15,40.322401334074485
2022-11-16,37.84102279043913
2022-11-17,35.97998888271262
2022-11-18,31.63757643135075
2022-11-19,11.166203446359088
2022-11-20,8.064480266814897
2022-11-21,32.25792106725959
2022-11-22,32.87826570316843
2022-11-23,34.739299610894946
2022-11-24,11.166203446359088
2022-11-25,17.98999444135631
2022-11-26,9.925514174541412
2022-11-27,6.823790994997221
2022-11-28,28.53585325180656
2022-11-29,27.295163979988885
2022-11-30,32.87826570316843
2022-12-01,35.97998888271262
2022-12-02,34.1189549749861
2022-12-03,10.54585881045025
2022-12-04,7.444135630906059
2022-12-05,30.396887159533076
2022-12-06,35.97998888271262
2022-12-07,31.017231795441912
2022-12-08,28.53585325180656
2022-12-09,28.53585325180656
2022-12-10,11.166203446359088
2022-12-11,7.444135630906059
2022-12-12,29.776542523624236
2022-12-13,41.563090605892164
2022-12-14,40.322401334074485
2022-12-15,40.322401334074485
2022-12-16,34.739299610894946
2022-12-17,11.166203446359088
2022-12-18,8.684824902723737
2022-12-19,34.739299610894946
2022-12-20,36.600333518621454
2022-12-21,34.739299610894946
2022-12-22,38.46136742634797
2022-12-23,33.49861033907727
2022-12-24,10.54585881045025
2022-12-25,8.064480266814897
2022-12-26,12.406892718176765
2022-12-27,32.87826570316843
2022-12-28,32.25792106725959
2022-12-29,35.35964424680378
2022-12-30,29.776542523624236
2022-12-31,14.888271261812118
2023-01-01,9.305169538632574
2023-01-02,15.508615897720956
2023-01-03,32.25792106725959
2023-01-04,31.63757643135075
2023-01-05,29.776542523624236
2023-01-06,34.1189549749861
2023-01-07,13.027237354085603
2023-01-08,8.684824902723737
2023-01-09,35.97998888271262
2023-01-10,33.49861033907727
2023-01-11,32.87826570316843
2023-01-12,38.46136742634797
2023-01-13,31.017231795441912
2023-01-14,11.166203446359088
2023-01-15,8.064480266814897
2023-01-16,14.888271261812118
2023-01-17,32.25792106725959
2023-01-18,37.2206781545303
2023-01-19,37.2206781545303
2023-01-20,33.49861033907727
2023-01-21,11.166203446359088
2023-01-22,8.064480266814897
2023-01-23,34.739299610894946
2023-01-24,38.46136742634797
2023-01-25,34.1189549749861
2023-01-26,34.739299610894946
2023-01-27,35.35964424680378
2023-01-28,13.647581989994443
2023-01-29,9.305169538632574
2023-01-30,32.87826570316843
2023-01-31,37.2206781545303
2023-02-01,42.183435241801
2023-02-02,50.86826014452474
2023-02-03,45.285158421345194
2023-02-04,12.406892718176765
2023-02-05,8.684824902723737
2023-02-06,32.87826570316843
2023-02-07,37.2206781545303
2023-02-08,35.97998888271262
2023-02-09,35.97998888271262
2023-02-10,32.25792106725959
2023-02-11,9.305169538632574
2023-02-12,6.823790994997221
2023-02-13,29.156197887715397
2023-02-14,35.97998888271262
2023-02-15,33.49861033907727
2023-02-16,32.87826570316843
2023-02-17,31.017231795441912
2023-02-18,9.305169538632574
2023-02-19,8.064480266814897
2023-02-20,14.26792662590328
2023-02-21,40.322401334074485
2023-02-22,36.600333518621454
2023-02-23,32.25792106725959
2023-02-24,35.35964424680378
2023-02-25,14.26792662590328
2023-02-26,8.684824902723737
2023-02-27,34.1189549749861
2023-02-28,30.396887159533076
2023-03-01,31.63757643135075
2023-03-02,32.25792106725959
2023-03-03,31.017231795441912
2023-03-04,9.925514174541412
2023-03-05,8.684824902723737
2023-03-06,32.25792106725959
2023-03-07,36.600333518621454
2023-03-08,37.2206781545303
2023-03-09,34.739299610894946
2023-03-10,47.14619232907171
2023-03-11,17.98999444135631
2023-03-12,11.786548082267927
2023-03-13,60.17342968315731
2023-03-14,45.285158421345194
2023-03-15,50.2479155086159
2023-03-16,40.94274596998333
2023-03-17,40.94274596998333
2023-03-18,11.166203446359088
2023-03-19,10.54585881045025
2023-03-20,39.70205669816565
2023-03-21,35.35964424680378
2023-03-22,45.285158421345194
2023-03-23,41.563090605892164
2023-03-24,34.739299610894946
2023-03-25,11.786548082267927
2023-03-26,8.064480266814897
2023-03-27,33.49861033907727
2023-03-28,33.49861033907727
2023-03-29,35.35964424680378
2023-03-30,32.87826570316843
2023-03-31,36.600333518621454
2023-04-01,11.786548082267927
2023-04-02,9.305169538632574
2023-04-03,35.35964424680378
2023-04-04,32.87826570316843
2023-04-05,30.396887159533076
2023-04-06,31.017231795441912
2023-04-07,21.0917176209005
2023-04-08,7.444135630906059
2023-04-09,7.444135630906059
2023-04-10,31.63757643135075
2023-04-11,33.49861033907727
2023-04-12,34.1189549749861
2023-04-13,34.739299610894946
2023-04-14,32.25792106725959
2023-04-15,10.54585881045025
2023-04-16,7.444135630906059
2023-04-17,29.776542523624236
2023-04-18,31.017231795441912
2023-04-19,31.63757643135075
2023-04-20,29.156197887715397
2023-04-21,29.156197887715397
2023-04-22,11.166203446359088
2023-04-23,7.444135630906059
2023-04-24,28.53585325180656
2023-04-25,32.87826570316843
2023-04-26,35.233439033458616
2023-04-27,32.756579556707365
2023-04-28,29.969547762001696
2023-04-29,12.384297383756243
2023-04-30,8.792625189122727
2023-05-01,31.084360479883962
2023-05-02,36.595485792327594
2023-05-03,38.51493891013771
2023-05-04,32.19917319776623
2023-05-05,33.00381359769408
2023-05-06,9.907437907004994
2023-05-07,7.67781247124046
2023-05-08,30.526954120942833
2023-05-09,27.492688285250452
2023-05-10,31.6417668388251
2023-05-11,29.722313721014984
2023-05-12,28.607501003132718
2023-05-13,9.907437907004994
2023-05-14,7.987984789194879
2023-05-15,30.279720079956117
2023-05-16,28.05009464419158
2023-05-17,29.722313721014984
2023-05-18,32.44640723875295
2023-05-19,31.889000879811814
2023-05-20,10.464844265946127
2023-05-21,6.315765712371478
2023-05-22,32.756579556707365
2023-05-23,32.19917319776623
2023-05-24,32.19917319776623
2023-05-25,31.084360479883962
2023-05-26,33.62382957419316
2023-05-27,10.878297803415435
2023-05-28,8.40595739354829
2023-05-29,8.40595739354829
2023-05-30,30.16255300037916
2023-05-31,32.140425328272876
2023-06-01,32.634893410246306
2023-06-02,37.579574229980594
2023-06-03,11.372765885388864
2023-06-04,8.40595739354829
2023-06-05,34.11829765616659
2023-06-06,32.634893410246306
2023-06-07,33.12936149221973
2023-06-08,32.140425328272876
2023-06-09,32.140425328272876
2023-06-10,10.383829721442005
2023-06-11,7.417021229601433
2023-06-12,33.12936149221973
2023-06-13,39.55744655787431
2023-06-14,44.007659295635165
2023-06-15,39.06297847590088
2023-06-16,36.59063806603373
2023-06-17,11.372765885388864
2023-06-18,6.4280850656545745
2023-06-19,18.295319033016867
2023-06-20,34.61276573814002
2023-06-21,33.62382957419316
2023-06-22,30.16255300037916
2023-06-23,29.668084918405732
2023-06-24,8.40595739354829
2023-06-25,7.9114893115748615
2023-06-26,27.690212590512015
2023-06-27,33.12936149221973
2023-06-28,30.16255300037916
2023-06-29,29.668084918405732
2023-06-30,31.151489164326016
2023-07-01,12.36170204933572
2023-07-02,8.40595739354829
2023-07-03,24.72340409867144
2023-07-04,10.878297803415435
2023-07-05,29.668084918405732
2023-07-06,34.61276573814002
2023-07-07,29.173616836432302
2023-07-08,9.889361639468577
2023-07-09,6.4280850656545745
2023-07-10,28.679148754458872
2023-07-11,32.634893410246306
2023-07-12,36.0961699840603
2023-07-13,33.12936149221973
2023-07-14,35.10723382011345
2023-07-15,9.889361639468577
2023-07-16,7.417021229601433
2023-07-17,32.140425328272876
2023-07-18,39.06297847590088
2023-07-19,38.56851039392745
2023-07-20,34.61276573814002
2023-07-21,33.62382957419316
2023-07-22,10.383829721442005
2023-07-23,7.417021229601433
2023-07-24,30.65702108235259
2023-07-25,32.140425328272876
2023-07-26,37.579574229980594
2023-07-27,37.08510614800716
2023-07-28,34.11829765616659
2023-07-29,10.878297803415435
2023-07-30,10.383829721442005
2023-07-31,33.12936149221973
2023-08-01,34.61276573814002
2023-08-02,39.06297847590088
2023-08-03,35.10723382011345
2023-08-04,34.11829765616659
2023-08-05,12.856170131309149
2023-08-06,7.9114893115748615
2023-08-07,30.16255300037916
2023-08-08,32.140425328272876
2023-08-09,33.12936149221973
2023-08-10,33.62382957419316
2023-08-11,29.668084918405732
2023-08-12,9.889361639468577
2023-08-13,6.4280850656545745
2023-08-14,31.151489164326016
2023-08-15,32.140425328272876
2023-08-16,34.11829765616659
2023-08-17,38.074042311954024
2023-08-18,35.10723382011345
2023-08-19,9.889361639468577
2023-08-20,7.417021229601433
2023-08-21,31.151489164326016
2023-08-22,33.12936149221973
2023-08-23,31.151489164326016
2023-08-24,32.634893410246306
2023-08-25,27.690212590512015
2023-08-26,9.889361639468577
2023-08-27,6.922553147628004
2023-08-28,30.65702108235259
2023-08-29,31.645957246299446
2023-08-30,30.65702108235259
2023-08-31,31.151489164326016
2023-09-01,29.173616836432302
2023-09-02,9.394893557495148
2023-09-03,6.4280850656545745
2023-09-04,7.9114893115748615
2023-09-05,29.668084918405732
2023-09-06,27.195744508538585
2023-09-07,27.690212590512015
2023-09-08,24.228936016698015
2023-09-09,8.900425475521718
2023-09-10,6.4280850656545745
2023-09-11,24.228936016698015
2023-09-12,24.72340409867144
2023-09-13,27.195744508538585
2023-09-14,25.21787218064487
2023-09-15,27.195744508538585
2023-09-16,7.417021229601433
2023-09-17,6.4280850656545745
2023-09-18,24.228936016698015
2023-09-19,26.70127642656516
2023-09-20,30.65702108235259
2023-09-21,33.62382957419316
2023-09-22,32.140425328272876
2023-09-23,10.878297803415435
2023-09-24,6.922553147628004
2023-09-25,27.690212590512015
2023-09-26,36.0961699840603
2023-09-27,35.10723382011345
2023-09-28,28.679148754458872
2023-09-29,31.645957246299446
2023-09-30,11.372765885388864
2023-10-01,6.922553147628004
2023-10-02,30.16255300037916
2023-10-03,37.579574229980594
2023-10-04,39.06297847590088
2023-10-05,33.12936149221973
2023-10-06,37.579574229980594
2023-10-07,9.889361639468577
2023-10-08,8.40595739354829
2023-10-09,31.151489164326016
2023-10-10,32.140425328272876
2023-10-11,30.16255300037916
2023-10-12,31.645957246299446
2023-10-13,29.173616836432302
2023-10-14,9.889361639468577
2023-10-15,7.417021229601433
2023-10-16,29.668084918405732
2023-10-17,32.140425328272876
2023-10-18,32.140425328272876
2023-10-19,35.10723382011345
2023-10-20,36.0961699840603
2023-10-21,11.372765885388864
2023-10-22,8.40595739354829
2023-10-23,31.151489164326016
2023-10-24,30.65702108235259
2023-10-25,32.634893410246306
2023-10-26,42.02978696774145
2023-10-27,36.0961699840603
2023-10-28,13.35063821328258
2023-10-29,8.40595739354829
2023-10-30,28.679148754458872
2023-10-31,33.12936149221973
2023-11-01,33.12936149221973
2023-11-02,33.62382957419316
2023-11-03,36.59063806603373
2023-11-04,11.372765885388864
2023-11-05,7.9114893115748615
2023-11-06,33.12936149221973
2023-11-07,33.12936149221973
2023-11-08,31.151489164326016
2023-11-09,30.16255300037916
2023-11-10,31.151489164326016
2023-11-11,14.339574377229436
2023-11-12,7.417021229601433
2023-11-13,29.173616836432302
2023-11-14,41.53531888576802
