Time,value
2023-04-26,53
2023-04-27,52
2023-04-28,51
2023-04-29,26
2023-04-30,40
2023-05-01,52
2023-05-02,41
2023-05-03,35
2023-05-04,49
2023-05-05,52
2023-05-06,39
2023-05-07,45
2023-05-08,64
2023-05-09,43
2023-05-10,46
2023-05-11,41
2023-05-12,37
2023-05-13,53
2023-05-14,29
2023-05-15,61
2023-05-16,46
2023-05-17,47
2023-05-18,34
2023-05-19,37
2023-05-20,50
2023-05-21,46
2023-05-22,43
2023-05-23,59
2023-05-24,33
2023-05-25,50
2023-05-26,47
2023-05-27,38
2023-05-28,41
2023-05-29,40
2023-05-30,39
2023-05-31,45
2023-06-01,39
2023-06-02,48
2023-06-03,35
2023-06-04,46
2023-06-05,37
2023-06-06,65
2023-06-07,44
2023-06-08,36
2023-06-09,48
2023-06-10,54
2023-06-11,42
2023-06-12,34
2023-06-13,34
2023-06-14,35
2023-06-15,33
2023-06-16,36
2023-06-17,41
2023-06-18,49
2023-06-19,50
2023-06-20,48
2023-06-21,36
2023-06-22,44
2023-06-23,27
2023-06-24,37
2023-06-25,51
2023-06-26,34
2023-06-27,45
2023-06-28,43
2023-06-29,40
2023-06-30,30
2023-07-01,44
2023-07-02,35
2023-07-03,45
2023-07-04,62
2023-07-05,45
2023-07-06,53
2023-07-07,42
2023-07-08,41
2023-07-09,56
2023-07-10,42
2023-07-11,35
2023-07-12,31
2023-07-13,51
2023-07-14,45
2023-07-15,38
2023-07-16,60
2023-07-17,47
2023-07-18,48
2023-07-19,31
2023-07-20,55
2023-07-21,38
2023-07-22,54
2023-07-23,48
2023-07-24,48
2023-07-25,41
2023-07-26,46
2023-07-27,55
2023-07-28,36
2023-07-29,33
2023-07-30,38
2023-07-31,40
2023-08-01,46
2023-08-02,45
2023-08-03,46
2023-08-04,56
2023-08-05,58
2023-08-06,41
2023-08-07,51
2023-08-08,36
2023-08-09,40
2023-08-10,48
2023-08-11,31
2023-08-12,41
2023-08-13,45
2023-08-14,40
2023-08-15,51
2023-08-16,46
2023-08-17,46
2023-08-18,43
2023-08-19,39
2023-08-20,57
2023-08-21,97
2023-08-22,60
2023-08-23,46
2023-08-24,35
2023-08-25,42
2023-08-26,35
2023-08-27,35
2023-08-28,70
2023-08-29,65
2023-08-30,55
2023-08-31,71
2023-09-01,50
2023-09-02,45
2023-09-03,38
2023-09-04,55
2023-09-05,74
2023-09-06,64
2023-09-07,72
2023-09-08,45
2023-09-09,37
2023-09-10,39
2023-09-11,74
2023-09-12,60
2023-09-13,47
2023-09-14,61
2023-09-15,51
2023-09-16,31
2023-09-17,50
2023-09-18,59
2023-09-19,70
2023-09-20,78
2023-09-21,93
2023-09-22,98
2023-09-23,50
2023-09-24,43
2023-09-25,73
2023-09-26,69
2023-09-27,70
2023-09-28,68
2023-09-29,62
2023-09-30,34
2023-10-01,43
2023-10-02,69
2023-10-03,58
2023-10-04,59
2023-10-05,56
2023-10-06,49
2023-10-07,43
2023-10-08,31
2023-10-09,54
2023-10-10,65
2023-10-11,57
2023-10-12,43
2023-10-13,60
2023-10-14,33
2023-10-15,39
2023-10-16,56
2023-10-17,58
2023-10-18,63
2023-10-19,78
2023-10-20,46
2023-10-21,42
2023-10-22,32
2023-10-23,66
2023-10-24,51
2023-10-25,64
2023-10-26,44
2023-10-27,66
2023-10-28,38
2023-10-29,51
2023-10-30,66
2023-10-31,67
2023-11-01,50
2023-11-02,53
2023-11-03,54
2023-11-04,47
2023-11-05,30
2023-11-06,54
2023-11-07,64
2023-11-08,64
2023-11-09,63
2023-11-10,57
2023-11-11,53
2023-11-12,59
2023-11-13,57
2023-11-14,63
2023-11-15,80
2023-11-16,72
2023-11-17,55
2023-11-18,51
2023-11-19,32
2023-11-20,45
2023-11-21,44
2023-11-22,67
2023-11-23,50
2023-11-24,46
2023-11-25,58
2023-11-26,70
2023-11-27,74
2023-11-28,80
2023-11-29,89
2023-11-30,83
2023-12-01,89
2023-12-02,82
2023-12-03,83
2023-12-04,100
2023-12-05,92
2023-12-06,82
2023-12-07,75
2023-12-08,67
2023-12-09,69
2023-12-10,72
2023-12-11,77
2023-12-12,86
2023-12-13,60
2023-12-14,61
2023-12-15,56
2023-12-16,51
2023-12-17,58
2023-12-18,62
2023-12-19,82
2023-12-20,82
2023-12-21,66
2023-12-22,57
2023-12-23,65
2023-12-24,52
2023-12-25,44
2023-12-26,39
2023-12-27,48
2023-12-28,60
2023-12-29,53
2023-12-30,68
2023-12-31,57
2024-01-01,60
2024-01-02,64
2024-01-03,81
2024-01-04,78
2024-01-05,63
2024-01-06,51
2024-01-07,56
2024-01-08,67
2024-01-09,78
2024-01-10,88
2024-01-11,72
2024-01-12,77
2024-01-13,47
2024-01-14,55
2024-01-15,58
2024-01-16,44
2024-01-17,79
2024-01-18,78
2024-01-19,51
