Time,gold
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,38.71784232365146
2022-05-02,36.904686468174496
2022-05-03,36.89236048821621
2022-05-04,35.98052147147114
2022-05-05,34.170071318911866
2022-05-06,35.05755900939787
2022-05-07,39.53888997582573
2022-05-08,35.03410958411138
2022-05-09,36.3693996742169
2022-05-10,35.01066015882488
2022-05-11,34.10152684499749
2022-05-12,34.538656749775065
2022-05-13,33.18187135315692
2022-05-14,35.86026800846347
2022-05-15,36.29634569543974
2022-05-16,33.596453733620564
2022-05-17,32.689575172224565
2022-05-18,34.02155829209738
2022-05-19,34.905137745035645
2022-05-20,32.65665578672621
2022-05-21,37.11769398127153
2022-05-22,33.52881116067875
2022-05-23,32.623736401227866
2022-05-24,33.95301381818301
2022-05-25,32.15519027923953
2022-05-26,31.69791791940816
2022-05-27,32.57984388723006
2022-05-28,37.0303599037622
2022-05-29,34.787890618603164
2022-05-30,36.113710748496835
2022-05-31,32.535951373232265
2022-06-01,32.524978244732814
2022-06-02,33.40479977695208
2022-06-03,33.83877302832572
2022-06-04,34.27244564604183
2022-06-05,35.59571038984659
2022-06-06,31.135724413102594
2022-06-07,35.12701395102949
2022-06-08,32.448166345236665
2022-06-09,34.214573666969386
2022-06-10,34.202999271154894
2022-06-11,35.523558312041985
2022-06-12,36.84321545195651
2022-06-13,35.94325146468345
2022-06-14,36.37466932996818
2022-06-15,35.918900138424405
2022-06-16,35.90672447529487
2022-06-17,34.565121078381445
2022-06-18,36.768357671234234
2022-06-19,36.755881374447185
2022-06-20,33.64456368556832
2022-06-21,33.63313960658259
2022-06-22,33.62171552759687
2022-06-23,33.16805077165573
2022-06-24,30.946325208865506
2022-06-25,34.91326342053335
2022-06-26,33.57601921165395
2022-06-27,33.56459513266822
2022-06-28,33.9946601464941
2022-06-29,33.10040819871391
2022-06-30,31.765569059094663
2022-07-01,33.95993695905064
2022-07-02,35.71191386522244
2022-07-03,35.2590006934251
2022-07-04,36.56873692264149
2022-07-05,32.592328750761794
