Time,value
2023-04-26,100
2023-04-27,99
2023-04-28,81
2023-04-29,62
2023-04-30,74
2023-05-01,86
2023-05-02,80
2023-05-03,81
2023-05-04,78
2023-05-05,68
2023-05-06,43
2023-05-07,46
2023-05-08,69
2023-05-09,71
2023-05-10,73
2023-05-11,63
2023-05-12,59
2023-05-13,41
2023-05-14,39
2023-05-15,63
2023-05-16,68
2023-05-17,66
2023-05-18,66
2023-05-19,57
2023-05-20,38
2023-05-21,41
2023-05-22,59
2023-05-23,62
2023-05-24,60
2023-05-25,63
2023-05-26,51
2023-05-27,37
2023-05-28,41
2023-05-29,38
2023-05-30,58
2023-05-31,60
2023-06-01,60
2023-06-02,48
2023-06-03,39
2023-06-04,42
2023-06-05,60
2023-06-06,64
2023-06-07,62
2023-06-08,56
2023-06-09,49
2023-06-10,39
2023-06-11,43
2023-06-12,57
2023-06-13,58
2023-06-14,59
2023-06-15,63
2023-06-16,51
2023-06-17,39
2023-06-18,35
2023-06-19,51
2023-06-20,58
2023-06-21,57
2023-06-22,53
2023-06-23,49
2023-06-24,39
2023-06-25,39
2023-06-26,56
2023-06-27,56
2023-06-28,58
2023-06-29,61
2023-06-30,49
2023-07-01,36
2023-07-02,36
2023-07-03,42
2023-07-04,37
2023-07-05,48
2023-07-06,58
2023-07-07,44
2023-07-08,35
2023-07-09,45
2023-07-10,60
2023-07-11,62
2023-07-12,59
2023-07-13,59
2023-07-14,51
2023-07-15,39
2023-07-16,40
2023-07-17,54
2023-07-18,54
2023-07-19,58
2023-07-20,55
2023-07-21,49
2023-07-22,39
2023-07-23,42
2023-07-24,54
2023-07-25,58
2023-07-26,61
2023-07-27,51
2023-07-28,48
2023-07-29,35
2023-07-30,43
2023-07-31,52
2023-08-01,60
2023-08-02,55
2023-08-03,53
2023-08-04,51
2023-08-05,38
2023-08-06,42
2023-08-07,53
2023-08-08,60
2023-08-09,61
2023-08-10,54
2023-08-11,51
2023-08-12,38
2023-08-13,39
2023-08-14,67
2023-08-15,53
2023-08-16,60
2023-08-17,60
2023-08-18,52
2023-08-19,39
2023-08-20,40
2023-08-21,60
2023-08-22,66
2023-08-23,67
2023-08-24,65
2023-08-25,57
2023-08-26,39
2023-08-27,41
2023-08-28,64
2023-08-29,65
2023-08-30,75
2023-08-31,62
2023-09-01,58
2023-09-02,39
2023-09-03,45
2023-09-04,47
2023-09-05,67
2023-09-06,71
2023-09-07,80
2023-09-08,67
2023-09-09,49
2023-09-10,55
2023-09-11,86
2023-09-12,80
2023-09-13,83
2023-09-14,77
2023-09-15,69
2023-09-16,54
2023-09-17,63
2023-09-18,85
2023-09-19,89
2023-09-20,85
2023-09-21,87
2023-09-22,75
2023-09-23,54
2023-09-24,63
2023-09-25,90
2023-09-26,88
2023-09-27,89
2023-09-28,83
2023-09-29,76
2023-09-30,51
2023-10-01,57
2023-10-02,87
2023-10-03,84
2023-10-04,83
2023-10-05,84
2023-10-06,72
2023-10-07,49
2023-10-08,51
2023-10-09,82
2023-10-10,79
2023-10-11,83
2023-10-12,79
2023-10-13,66
2023-10-14,47
2023-10-15,57
2023-10-16,81
2023-10-17,77
2023-10-18,86
2023-10-19,85
2023-10-20,69
2023-10-21,49
2023-10-22,52
2023-10-23,85
2023-10-24,85
2023-10-25,85
2023-10-26,83
2023-10-27,72
2023-10-28,41
2023-10-29,51
2023-10-30,81
2023-10-31,83
2023-11-01,81
2023-11-02,80
2023-11-03,71
2023-11-04,48
2023-11-05,52
2023-11-06,87
2023-11-07,90
2023-11-08,83
2023-11-09,82
2023-11-10,72
2023-11-11,46
2023-11-12,52
2023-11-13,86
2023-11-14,83
2023-11-15,82
2023-11-16,86
2023-11-17,69
2023-11-18,45
2023-11-19,48
2023-11-20,73
2023-11-21,66
2023-11-22,52
2023-11-23,36
2023-11-24,35
2023-11-25,40
2023-11-26,51
2023-11-27,78
2023-11-28,83
2023-11-29,87
2023-11-30,79
2023-12-01,70
2023-12-02,51
2023-12-03,53
2023-12-04,84
2023-12-05,84
2023-12-06,81
2023-12-07,80
2023-12-08,75
2023-12-09,43
2023-12-10,47
2023-12-11,74
2023-12-12,75
2023-12-13,67
2023-12-14,71
2023-12-15,55
2023-12-16,37
2023-12-17,34
2023-12-18,49
2023-12-19,50
2023-12-20,49
2023-12-21,45
2023-12-22,37
2023-12-23,24
2023-12-24,24
2023-12-25,17
2023-12-26,31
2023-12-27,41
2023-12-28,33
2023-12-29,34
2023-12-30,25
2023-12-31,23
2024-01-01,26
2024-01-02,44
2024-01-03,49
2024-01-04,52
2024-01-05,50
2024-01-06,31
2024-01-07,30
2024-01-08,56
2024-01-09,61
2024-01-10,66
2024-01-11,66
2024-01-12,60
2024-01-13,43
2024-01-14,40
2024-01-15,45
2024-01-16,61
2024-01-17,75
2024-01-18,74
2024-01-19,64
