Time,value
2022-08-29,76
2022-08-30,78
2022-08-31,89
2022-09-01,69
2022-09-02,82
2022-09-03,37
2022-09-04,59
2022-09-05,60
2022-09-06,88
2022-09-07,86
2022-09-08,90
2022-09-09,56
2022-09-10,48
2022-09-11,57
2022-09-12,83
2022-09-13,75
2022-09-14,86
2022-09-15,86
2022-09-16,68
2022-09-17,41
2022-09-18,50
2022-09-19,89
2022-09-20,82
2022-09-21,78
2022-09-22,82
2022-09-23,68
2022-09-24,56
2022-09-25,66
2022-09-26,74
2022-09-27,74
2022-09-28,90
2022-09-29,78
2022-09-30,69
2022-10-01,48
2022-10-02,65
2022-10-03,77
2022-10-04,85
2022-10-05,92
2022-10-06,78
2022-10-07,78
2022-10-08,59
2022-10-09,64
2022-10-10,79
2022-10-11,82
2022-10-12,73
2022-10-13,72
2022-10-14,76
2022-10-15,38
2022-10-16,60
2022-10-17,76
2022-10-18,100
2022-10-19,74
2022-10-20,90
2022-10-21,81
2022-10-22,49
2022-10-23,54
2022-10-24,86
2022-10-25,85
2022-10-26,72
2022-10-27,80
2022-10-28,67
2022-10-29,39
2022-10-30,69
2022-10-31,80
2022-11-01,75
2022-11-02,78
2022-11-03,91
2022-11-04,81
2022-11-05,47
2022-11-06,61
2022-11-07,77
2022-11-08,78
2022-11-09,73
2022-11-10,74
2022-11-11,59
2022-11-12,45
2022-11-13,59
2022-11-14,90
2022-11-15,86
2022-11-16,78
2022-11-17,81
2022-11-18,63
2022-11-19,33
2022-11-20,40
2022-11-21,55
2022-11-22,50
2022-11-23,45
2022-11-24,36
2022-11-25,47
2022-11-26,44
2022-11-27,50
2022-11-28,85
2022-11-29,74
2022-11-30,85
2022-12-01,91
2022-12-02,61
2022-12-03,45
2022-12-04,51
2022-12-05,77
2022-12-06,79
2022-12-07,77
2022-12-08,80
2022-12-09,64
2022-12-10,31
2022-12-11,50
2022-12-12,59
2022-12-13,75
2022-12-14,65
2022-12-15,58
2022-12-16,46
2022-12-17,41
2022-12-18,35
2022-12-19,57
2022-12-20,50
2022-12-21,49
2022-12-22,40
2022-12-23,41
2022-12-24,31
2022-12-25,28
2022-12-26,32
2022-12-27,62
2022-12-28,46
2022-12-29,51
2022-12-30,51
2022-12-31,26
2023-01-01,37
2023-01-02,61
2023-01-03,57
2023-01-04,73
2023-01-05,70
2023-01-06,72
2023-01-07,63
2023-01-08,53
2023-01-09,75
2023-01-10,79
2023-01-11,71
2023-01-12,61
2023-01-13,66
2023-01-14,56
2023-01-15,44
2023-01-16,62
2023-01-17,69
2023-01-18,77
2023-01-19,61
2023-01-20,75
2023-01-21,45
2023-01-22,66
2023-01-23,80
2023-01-24,83
2023-01-25,76
2023-01-26,81
2023-01-27,64
2023-01-28,42
2023-01-29,60
2023-01-30,75
2023-01-31,74
2023-02-01,75
2023-02-02,75
2023-02-03,90
2023-02-04,58
2023-02-05,56
2023-02-06,71
2023-02-07,74
2023-02-08,77
2023-02-09,69
2023-02-10,75
2023-02-11,58
2023-02-12,54
2023-02-13,67
2023-02-14,76
2023-02-15,74
2023-02-16,63
2023-02-17,64
2023-02-18,51
2023-02-19,58
2023-02-20,54
2023-02-21,79
2023-02-22,89
2023-02-23,64
2023-02-24,70
2023-02-25,50
2023-02-26,64
2023-02-27,78
2023-02-28,71
2023-03-01,78
2023-03-02,73
2023-03-03,60
2023-03-04,50
2023-03-05,48
2023-03-06,89
2023-03-07,76
2023-03-08,74
2023-03-09,69
2023-03-10,51
2023-03-11,41
2023-03-12,58
2023-03-13,77
2023-03-14,62
2023-03-15,69
2023-03-16,65
2023-03-17,62
2023-03-18,48
2023-03-19,48
2023-03-20,81
2023-03-21,77
2023-03-22,74
2023-03-23,78
2023-03-24,64
2023-03-25,42
2023-03-26,45
2023-03-27,77
2023-03-28,78
2023-03-29,64
2023-03-30,68
2023-03-31,56
2023-04-01,50
2023-04-02,53
2023-04-03,75
2023-04-04,66
2023-04-05,78
2023-04-06,56
2023-04-07,58
2023-04-08,42
2023-04-09,54
2023-04-10,81
2023-04-11,69
2023-04-12,61
2023-04-13,66
2023-04-14,60
2023-04-15,72
2023-04-16,76
2023-04-17,88
2023-04-18,77
2023-04-19,83
2023-04-20,61
2023-04-21,55
2023-04-22,46
2023-04-23,50
2023-04-24,78
2023-04-25,79
2023-04-26,70
2023-04-27,67
2023-04-28,61
2023-04-29,52
2023-04-30,54
2023-05-01,65
2023-05-02,72
2023-05-03,60
2023-05-04,66
2023-05-05,64
2023-05-06,49
2023-05-07,60
2023-05-08,70
2023-05-09,68
2023-05-10,64
2023-05-11,73
2023-05-12,48
2023-05-13,39
2023-05-14,34
2023-05-15,74
2023-05-16,67
2023-05-17,61
2023-05-18,44
2023-05-19,51
2023-05-20,37
2023-05-21,53
2023-05-22,67
2023-05-23,64
2023-05-24,60
