Time,value
2022-08-29,27
2022-08-30,28
2022-08-31,25
2022-09-01,27
2022-09-02,28
2022-09-03,33
2022-09-04,32
2022-09-05,29
2022-09-06,26
2022-09-07,24
2022-09-08,24
2022-09-09,28
2022-09-10,32
2022-09-11,31
2022-09-12,25
2022-09-13,25
2022-09-14,26
2022-09-15,26
2022-09-16,28
2022-09-17,33
2022-09-18,28
2022-09-19,25
2022-09-20,25
2022-09-21,25
2022-09-22,27
2022-09-23,29
2022-09-24,31
2022-09-25,32
2022-09-26,27
2022-09-27,26
2022-09-28,26
2022-09-29,27
2022-09-30,29
2022-10-01,31
2022-10-02,30
2022-10-03,40
2022-10-04,33
2022-10-05,32
2022-10-06,29
2022-10-07,31
2022-10-08,32
2022-10-09,33
2022-10-10,27
2022-10-11,27
2022-10-12,28
2022-10-13,29
2022-10-14,33
2022-10-15,37
2022-10-16,36
2022-10-17,31
2022-10-18,29
2022-10-19,31
2022-10-20,30
2022-10-21,36
2022-10-22,35
2022-10-23,37
2022-10-24,30
2022-10-25,31
2022-10-26,32
2022-10-27,33
2022-10-28,35
2022-10-29,37
2022-10-30,38
2022-10-31,31
2022-11-01,40
2022-11-02,37
2022-11-03,33
2022-11-04,32
2022-11-05,36
2022-11-06,32
2022-11-07,28
2022-11-08,28
2022-11-09,25
2022-11-10,28
2022-11-11,30
2022-11-12,31
2022-11-13,31
2022-11-14,28
2022-11-15,27
2022-11-16,28
2022-11-17,27
2022-11-18,29
2022-11-19,31
2022-11-20,29
2022-11-21,26
2022-11-22,26
2022-11-23,28
2022-11-24,30
2022-11-25,27
2022-11-26,28
2022-11-27,30
2022-11-28,25
2022-11-29,23
2022-11-30,27
2022-12-01,27
2022-12-02,27
2022-12-03,31
2022-12-04,30
2022-12-05,25
2022-12-06,27
2022-12-07,26
2022-12-08,28
2022-12-09,28
2022-12-10,36
2022-12-11,32
2022-12-12,28
2022-12-13,26
2022-12-14,28
2022-12-15,29
2022-12-16,31
2022-12-17,36
2022-12-18,33
2022-12-19,30
2022-12-20,31
2022-12-21,32
2022-12-22,33
2022-12-23,32
2022-12-24,38
2022-12-25,39
2022-12-26,30
2022-12-27,27
2022-12-28,27
2022-12-29,28
2022-12-30,31
2022-12-31,41
2023-01-01,43
2023-01-02,26
2023-01-03,24
2023-01-04,27
2023-01-05,25
2023-01-06,29
2023-01-07,32
2023-01-08,31
2023-01-09,28
2023-01-10,27
2023-01-11,27
2023-01-12,27
2023-01-13,29
2023-01-14,32
2023-01-15,31
2023-01-16,27
2023-01-17,26
2023-01-18,27
2023-01-19,28
2023-01-20,29
2023-01-21,35
2023-01-22,33
2023-01-23,29
2023-01-24,26
2023-01-25,26
2023-01-26,27
2023-01-27,30
2023-01-28,34
2023-01-29,33
2023-01-30,24
2023-01-31,27
2023-02-01,28
2023-02-02,29
2023-02-03,29
2023-02-04,32
2023-02-05,36
2023-02-06,28
2023-02-07,27
2023-02-08,26
2023-02-09,26
2023-02-10,30
2023-02-11,36
2023-02-12,100
2023-02-13,64
2023-02-14,54
2023-02-15,42
2023-02-16,36
2023-02-17,39
2023-02-18,44
2023-02-19,37
2023-02-20,30
2023-02-21,28
2023-02-22,30
2023-02-23,29
2023-02-24,32
2023-02-25,35
2023-02-26,36
2023-02-27,34
2023-02-28,30
2023-03-01,32
2023-03-02,29
2023-03-03,31
2023-03-04,32
2023-03-05,35
2023-03-06,28
2023-03-07,27
2023-03-08,29
2023-03-09,28
2023-03-10,31
2023-03-11,34
2023-03-12,33
2023-03-13,27
2023-03-14,27
2023-03-15,28
2023-03-16,32
2023-03-17,49
2023-03-18,40
2023-03-19,38
2023-03-20,30
2023-03-21,29
2023-03-22,28
2023-03-23,29
2023-03-24,33
2023-03-25,36
2023-03-26,37
2023-03-27,28
2023-03-28,27
2023-03-29,29
2023-03-30,28
2023-03-31,30
2023-04-01,32
2023-04-02,35
2023-04-03,29
2023-04-04,28
2023-04-05,27
2023-04-06,27
2023-04-07,28
2023-04-08,36
2023-04-09,34
2023-04-10,26
2023-04-11,28
2023-04-12,28
2023-04-13,29
2023-04-14,32
2023-04-15,36
2023-04-16,35
2023-04-17,30
2023-04-18,28
2023-04-19,30
2023-04-20,30
2023-04-21,32
2023-04-22,38
2023-04-23,34
2023-04-24,30
2023-04-25,30
2023-04-26,30
2023-04-27,29
2023-04-28,32
2023-04-29,39
2023-04-30,35
2023-05-01,32
2023-05-02,30
2023-05-03,33
2023-05-04,36
2023-05-05,54
2023-05-06,50
2023-05-07,36
2023-05-08,29
2023-05-09,28
2023-05-10,28
2023-05-11,29
2023-05-12,31
2023-05-13,40
2023-05-14,36
2023-05-15,29
2023-05-16,28
2023-05-17,27
2023-05-18,26
2023-05-19,31
2023-05-20,35
2023-05-21,36
2023-05-22,28
2023-05-23,28
2023-05-24,29
