Time,value
2023-04-26,44
2023-04-27,60
2023-04-28,45
2023-04-29,28
2023-04-30,27
2023-05-01,39
2023-05-02,41
2023-05-03,60
2023-05-04,42
2023-05-05,40
2023-05-06,25
2023-05-07,33
2023-05-08,36
2023-05-09,57
2023-05-10,30
2023-05-11,41
2023-05-12,56
2023-05-13,31
2023-05-14,35
2023-05-15,32
2023-05-16,39
2023-05-17,58
2023-05-18,45
2023-05-19,41
2023-05-20,35
2023-05-21,45
2023-05-22,44
2023-05-23,34
2023-05-24,41
2023-05-25,30
2023-05-26,56
2023-05-27,27
2023-05-28,35
2023-05-29,0
2023-05-30,39
2023-05-31,57
2023-06-01,40
2023-06-02,37
2023-06-03,33
2023-06-04,29
2023-06-05,35
2023-06-06,32
2023-06-07,26
2023-06-08,29
2023-06-09,34
2023-06-10,32
2023-06-11,23
2023-06-12,0
2023-06-13,27
2023-06-14,59
2023-06-15,31
2023-06-16,30
2023-06-17,34
2023-06-18,42
2023-06-19,31
2023-06-20,43
2023-06-21,38
2023-06-22,47
2023-06-23,29
2023-06-24,44
2023-06-25,29
2023-06-26,46
2023-06-27,36
2023-06-28,42
2023-06-29,26
2023-06-30,36
2023-07-01,41
2023-07-02,29
2023-07-03,43
2023-07-04,0
2023-07-05,35
2023-07-06,34
2023-07-07,34
2023-07-08,42
2023-07-09,62
2023-07-10,32
2023-07-11,44
2023-07-12,46
2023-07-13,40
2023-07-14,48
2023-07-15,28
2023-07-16,60
2023-07-17,23
2023-07-18,27
2023-07-19,50
2023-07-20,42
2023-07-21,32
2023-07-22,0
2023-07-23,47
2023-07-24,32
2023-07-25,40
2023-07-26,42
2023-07-27,45
2023-07-28,45
2023-07-29,31
2023-07-30,34
2023-07-31,46
2023-08-01,41
2023-08-02,40
2023-08-03,32
2023-08-04,40
2023-08-05,31
2023-08-06,55
2023-08-07,46
2023-08-08,46
2023-08-09,51
2023-08-10,38
2023-08-11,38
2023-08-12,0
2023-08-13,41
2023-08-14,27
2023-08-15,42
2023-08-16,37
2023-08-17,56
2023-08-18,92
2023-08-19,36
2023-08-20,62
2023-08-21,49
2023-08-22,43
2023-08-23,56
2023-08-24,58
2023-08-25,41
2023-08-26,62
2023-08-27,49
2023-08-28,43
2023-08-29,79
2023-08-30,53
2023-08-31,56
2023-09-01,52
2023-09-02,33
2023-09-03,55
2023-09-04,60
2023-09-05,62
2023-09-06,61
2023-09-07,53
2023-09-08,65
2023-09-09,33
2023-09-10,25
2023-09-11,57
2023-09-12,60
2023-09-13,65
2023-09-14,61
2023-09-15,63
2023-09-16,23
2023-09-17,34
2023-09-18,64
2023-09-19,69
2023-09-20,56
2023-09-21,68
2023-09-22,30
2023-09-23,0
2023-09-24,43
2023-09-25,46
2023-09-26,54
2023-09-27,100
2023-09-28,58
2023-09-29,42
2023-09-30,29
2023-10-01,29
2023-10-02,42
2023-10-03,63
2023-10-04,75
2023-10-05,51
2023-10-06,78
2023-10-07,41
2023-10-08,37
2023-10-09,50
2023-10-10,61
2023-10-11,47
2023-10-12,66
2023-10-13,54
2023-10-14,53
2023-10-15,0
2023-10-16,62
2023-10-17,67
2023-10-18,58
2023-10-19,45
2023-10-20,46
2023-10-21,37
2023-10-22,0
2023-10-23,76
2023-10-24,62
2023-10-25,57
2023-10-26,56
2023-10-27,44
2023-10-28,37
2023-10-29,55
2023-10-30,59
2023-10-31,47
2023-11-01,51
2023-11-02,52
2023-11-03,56
2023-11-04,35
2023-11-05,48
2023-11-06,52
2023-11-07,51
2023-11-08,51
2023-11-09,72
2023-11-10,39
2023-11-11,43
2023-11-12,47
2023-11-13,50
2023-11-14,44
2023-11-15,79
2023-11-16,41
2023-11-17,69
2023-11-18,34
2023-11-19,56
2023-11-20,55
2023-11-21,33
2023-11-22,31
2023-11-23,35
2023-11-24,24
2023-11-25,36
2023-11-26,32
2023-11-27,59
2023-11-28,59
2023-11-29,62
2023-11-30,72
2023-12-01,37
2023-12-02,37
2023-12-03,36
2023-12-04,67
2023-12-05,64
2023-12-06,58
2023-12-07,81
2023-12-08,73
2023-12-09,45
2023-12-10,97
2023-12-11,80
2023-12-12,60
2023-12-13,45
2023-12-14,22
2023-12-15,45
2023-12-16,45
2023-12-17,57
2023-12-18,40
2023-12-19,37
2023-12-20,23
2023-12-21,28
2023-12-22,30
2023-12-23,29
2023-12-24,0
2023-12-25,0
2023-12-26,24
2023-12-27,41
2023-12-28,27
2023-12-29,39
2023-12-30,0
2023-12-31,39
2024-01-01,42
2024-01-02,47
2024-01-03,55
2024-01-04,68
2024-01-05,42
2024-01-06,0
2024-01-07,23
2024-01-08,22
2024-01-09,43
2024-01-10,50
2024-01-11,52
2024-01-12,72
2024-01-13,39
2024-01-14,30
2024-01-15,50
2024-01-16,40
2024-01-17,52
2024-01-18,71
2024-01-19,53
