Time,domination
2022-01-01,43.0
2022-01-02,43.0
2022-01-03,49.0
2022-01-04,51.0
2022-01-05,56.0
2022-01-06,41.0
2022-01-07,53.0
2022-01-08,51.0
2022-01-09,51.0
2022-01-10,45.0
2022-01-11,50.0
2022-01-12,40.0
2022-01-13,53.0
2022-01-14,36.0
2022-01-15,45.0
2022-01-16,46.0
2022-01-17,47.0
2022-01-18,50.0
2022-01-19,46.0
2022-01-20,48.0
2022-01-21,47.0
2022-01-22,48.0
2022-01-23,57.0
2022-01-24,61.0
2022-01-25,45.0
2022-01-26,42.0
2022-01-27,49.0
2022-01-28,42.0
2022-01-29,58.0
2022-01-30,60.0
2022-01-31,40.0
2022-02-01,49.0
2022-02-02,53.0
2022-02-03,47.0
2022-02-04,52.0
2022-02-05,43.0
2022-02-06,53.0
2022-02-07,58.0
2022-02-08,50.0
2022-02-09,60.0
2022-02-10,44.0
2022-02-11,60.0
2022-02-12,60.0
2022-02-13,63.0
2022-02-14,56.0
2022-02-15,55.0
2022-02-16,53.0
2022-02-17,61.0
2022-02-18,44.0
2022-02-19,63.0
2022-02-20,53.0
2022-02-21,50.0
2022-02-22,58.0
2022-02-23,51.0
2022-02-24,61.0
2022-02-25,54.0
2022-02-26,58.0
2022-02-27,60.0
2022-02-28,55.0
2022-03-01,45.0
2022-03-02,52.0
2022-03-03,56.0
2022-03-04,52.0
2022-03-05,57.0
2022-03-06,53.0
2022-03-07,48.0
2022-03-08,45.0
2022-03-09,46.0
2022-03-10,42.0
2022-03-11,54.0
2022-03-12,53.0
2022-03-13,55.0
2022-03-14,49.0
2022-03-15,51.0
2022-03-16,49.0
2022-03-17,51.0
2022-03-18,53.0
2022-03-19,48.0
2022-03-20,60.0
2022-03-21,48.0
2022-03-22,59.0
2022-03-23,51.0
2022-03-24,48.0
2022-03-25,58.0
2022-03-26,55.0
2022-03-27,58.0
2022-03-28,54.0
2022-03-29,50.0
2022-03-30,49.0
2022-03-31,49.0
2022-04-01,52.0
2022-04-02,53.0
2022-04-03,56.0
2022-04-04,60.0
2022-04-05,48.0
