"query","search interest","increase percent"
"laura loomer",1,"1,150%"
"joe milton",2,"1,100%"
"austin metcalf",3,"850%"
"inter miami",3,"400%"
"stock market",17,"250%"
"stock market today",6,"200%"
"tornado warning",8,"170%"
"nasdaq",4,"150%"
"sp500",2,"150%"
"djia",3,"150%"
"s&p 500",6,"140%"
"dow",24,"140%"
"dow futures",2,"130%"
"dow jones",17,"130%"
"voo",2,"100%"
"dow jones today",5,"100%"
"phillies",5,"90%"
"s and p 500",1,"80%"
"stock futures",1,"80%"
"minecraft movie",8,"70%"
"tariffs",21,"70%"
"spy stock",2,"60%"
"nvidia stock",2,"60%"
"severe thunderstorm warning",6,"60%"
"cnbc",2,"60%"
"bitcoin price",3,"50%"
"tornado watch",6,"50%"
"yahoo finance",3,"40%"
"charles schwab",2,"40%"
"tesla stock",8,"40%"
"nvda stock",2,"40%"
"lakers",4,"40%"
"gold price today",2,"30%"
"trump tariffs",5,"30%"
"fidelity",5,"30%"
"spectrum",5,"30%"
"blooket",13,"30%"
"dodgers",9,"20%"
"capital one",4,"20%"
"autozone",2,"20%"
"amazon",49,"10%"
"lululemon",3,"10%"
"kahoot",5,"10%"
"fox news",8,"10%"
"food near me",7,"10%"
"paypal",3,"10%"
"gimkit",5,"10%"
"prodigy",2,"10%"
"abcya",1,"10%"
"math playground",1,"9%"
