,Count,Mean,Std,Min,25%,50%,75%,Max
accrue,1612.0,54.25682382133995,19.678903797123628,0.0,39.3544081489287,54.78260869565217,67.28358208955224,127.06270627062706
advantage,1612.0,67.84181141439205,16.85673834203693,21.4468085106383,55.03517944138979,68.34173663374952,78.88754480286738,131.4310344827586
affluence,1612.0,49.247518610421835,49.534863906589145,0.0,0.0,53.30592105263158,81.58890890375707,315.0
affluent,1612.0,53.26861042183623,17.92322400060263,12.481927710843374,39.95029027576197,51.92727272727273,64.21494675584474,184.7222222222222
afloat,1612.0,59.811414392059554,30.656197438215905,0.0,46.959323865390544,61.49814179531161,77.13792747128439,214.1176470588236
allowance,1612.0,31.075682382133994,13.425952036401101,10.33244680851064,23.274721337579617,27.664,32.124739673724406,132.36363636363637
aristocracy,1612.0,41.84429280397023,20.903588956050314,0.0,24.9975,37.97372954349699,56.20421989051095,120.863309352518
aristocrat,1612.0,58.892059553349874,10.924900030384364,27.138461538461534,51.54013180128422,57.96217948717948,64.796973518285,120.35573122529644
aristocratic,1612.0,18.325062034739453,17.180536687816627,0.0,10.36152765773552,16.87638888888889,23.33333333333333,171.77914110429447
associate,1612.0,65.93052109181141,16.551139622884396,24.17357512953368,51.60370575221239,68.39156992305787,75.49938635965168,120.05070993914806
backer,1612.0,60.33746898263027,10.22135784721214,27.86729857819905,53.67139959432049,58.98415326739001,65.33459051724138,107.96019900497512
backward,1612.0,50.91315136476427,15.82284102053367,10.45414847161572,39.91139494030095,47.83503338278932,57.222783243546814,190.2173913043478
backwardness,1612.0,0.5775434243176178,13.721340134666988,0.0,0.0,0.0,0.0,406.0
bankrupt,1612.0,43.317617866004966,11.635729255952718,18.9,35.860889509373756,42.49972804972805,49.146268656716416,119.32249322493224
bankruptcy,1612.0,53.01736972704715,18.107049548812252,16.71641791044776,40.46366859811468,51.88706586826348,62.98127785049688,115.17367458866543
bargain,1612.0,75.53225806451613,10.204914814490767,51.296875,68.41341403162055,74.58266745005875,81.35313615502294,147.84482758620686
beggar,1612.0,18.879652605459057,13.635187662081362,0.0,14.239911714487985,17.455906627631744,21.727313974591652,489.5104895104896
benefactor,1612.0,61.58002481389578,16.89445477308056,0.0,49.31818181818182,59.83551671978823,72.64007206852602,122.22
beneficiary,1612.0,57.97456575682382,17.149853506769265,17.68081180811808,45.60164160293929,58.47842308170626,66.94636824324324,115.95901639344264
benefit,1612.0,59.03163771712159,16.1345532611543,19.44,46.63380281690141,58.61248600920284,68.72727272727273,116.24548736462094
benevolence,1612.0,66.15632754342431,20.537471666772472,0.0,52.37769973661106,65.44858299595143,79.4479157123225,150.1510574018127
benevolent,1612.0,53.75496277915633,15.152439889254275,19.7979797979798,41.706428147268404,51.55990783410138,65.55405405405405,128.19277108433735
bequeath,1612.0,64.07444168734492,71.00198885838724,0.0,0.0,67.8745311327832,109.79170081967213,581.0
betroth,1612.0,1.2419354838709677,22.761408489489,0.0,0.0,0.0,0.0,700.0
betrothal,1612.0,26.94044665012407,77.57799097104729,0.0,0.0,0.0,0.0,581.0
blackmail,1612.0,59.56699751861042,11.227514154343787,26.02848101265823,52.38709677419355,58.177303523035235,65.00149253731344,180.26755852842808
bonus,1612.0,52.475806451612904,10.270426773466827,35.2969696969697,45.97149978745604,49.35032467532467,55.224885844748854,132.33830845771143
boom,1612.0,62.50558312655087,12.015254524289375,32.34323432343234,55.21677038978055,61.25,68.01543600562587,197.9310344827586
breadwinner,1612.0,4.970223325062035,10.328912019866403,0.0,2.653542510121458,3.7305719921104536,5.04,190.2173913043478
bribe,1612.0,28.31637717121588,12.648849306470803,7.446808510638298,21.0,26.87633914906642,33.53322010869565,288.06584362139915
broke,1612.0,77.82009925558313,8.658718041702057,58.7680608365019,71.94297868227929,75.93695783975375,82.10081910073197,142.85714285714286
bum,1612.0,55.985732009925556,11.536320406446734,33.12676056338029,47.342036390827516,54.58691388839365,62.7035218643624,119.0127970749543
buy,1612.0,48.891439205955336,10.455669516642706,31.388535031847137,41.744291596481375,46.3448275862069,52.5,115.95959595959596
capitalize,1612.0,65.64205955334988,22.59040657690786,10.333333333333332,46.05689918533605,67.04840549881993,85.20455156122301,128.44036697247708
charitable,1612.0,44.15632754342432,16.55433948516588,11.14691943127962,33.3090338332752,43.21025864574251,54.226882160392805,113.05309734513274
charity,1612.0,48.80707196029777,13.255453227118583,17.692307692307693,40.90190972222222,46.40606617647059,53.0455147522913,236.96498054474708
cheap,1612.0,73.54342431761786,10.011469999752679,43.37704918032787,66.09072701354242,71.94509151414309,79.85683760683762,114.00651465798046
colony,1612.0,65.10049627791564,14.899820808757527,34.85151515151515,54.73770491803278,61.138975511154854,72.04511174801691,176.45429362880887
commoner,1612.0,55.73511166253102,21.45489237469642,0.0,44.57547169811321,54.92892976588628,66.24586322610507,280.0
community,1612.0,71.97456575682382,14.308991460615129,30.395180722891567,57.891506101477205,75.89199255121044,82.16784651208769,111.25
compensate,1612.0,68.71277915632754,20.68292579387958,0.0,52.684326018808775,67.24242424242425,83.91393442622952,139.7119341563786
compensation,1612.0,40.21960297766749,17.85651318508885,11.940191387559809,29.325581395348834,37.83035424378207,43.563177588996766,159.34959349593495
contribute,1612.0,47.20657568238214,23.372262319595002,6.271493212669683,26.79481593207083,43.43666943521595,66.31851054008308,122.16404886561952
contribution,1612.0,48.91501240694789,20.153474740028823,12.352941176470589,33.45517157204631,46.625212310618934,62.741627368654335,129.3103448275862
cooperative,1612.0,44.94168734491315,15.044230136076848,12.057416267942582,31.585355227123557,46.66949838187703,51.24636304670126,124.35129740518964
corrupt,1612.0,71.9863523573201,15.099724276563089,35.89317507418397,60.398964636748396,71.0079522862823,82.72225935828878,154.1850220264317
cost,1612.0,65.7574441687345,11.135746453078548,42.24852071005917,58.77488560810303,62.49055275000859,68.51163357447027,108.52713178294576
costly,1612.0,58.674317617866,22.290725295805185,0.0,40.7982808301227,56.375054257981695,74.81398204607046,130.73084479371315
crisis,1612.0,52.78039702233251,15.199673856283667,23.05413105413105,41.73435268146994,50.56275403061916,60.28939689408281,122.87968441814596
debtor,1612.0,46.36414392059553,20.684373089759525,0.0,32.46487747830459,44.951973951973955,57.00240384615385,133.33333333333331
default,1612.0,48.76736972704715,14.87559180098959,20.768867924528305,37.130090497737555,49.43804318488529,53.90721649484535,117.53731343283582
deficit,1612.0,43.371588089330025,17.55069033268913,11.623255813953488,30.744927747774046,39.17507418397626,50.434849119267625,137.79527559055117
depreciation,1612.0,40.74193548387097,17.264474894065806,6.333333333333333,28.543557374869835,38.61469265367317,49.28186888842214,116.2109375
depression,1612.0,60.13399503722084,13.907406552841275,28.21212121212121,49.851964962121215,57.28546868387643,68.88716584927816,142.89405684754522
